date,price_usd,unit,basis,source,reconstructed
2023-06-14,0.88,lb,wholesale,,true
2023-06-21,0.91,lb,wholesale,,true
2023-06-28,0.95,lb,wholesale,,true
2023-07-05,0.97,lb,wholesale,,true
2023-07-12,0.99,lb,wholesale,,true
2023-07-19,1.01,lb,wholesale,,true
2023-07-26,1.01,lb,wholesale,,true
2023-08-02,1.00,lb,wholesale,,true
2023-08-09,0.98,lb,wholesale,,true
2023-08-16,0.96,lb,wholesale,,true
2023-08-23,0.96,lb,wholesale,,true
2023-08-30,0.94,lb,wholesale,,true
2023-09-06,0.96,lb,wholesale,,true
2023-09-13,0.98,lb,wholesale,,true
2023-09-20,0.98,lb,wholesale,,true
2023-09-27,0.97,lb,wholesale,,true
2023-10-04,0.96,lb,wholesale,,true
2023-10-11,0.94,lb,wholesale,,true
2023-10-18,0.93,lb,wholesale,,true
2023-10-25,0.90,lb,wholesale,,true
2023-11-01,0.88,lb,wholesale,,true
2023-11-08,0.88,lb,wholesale,,true
2023-11-15,0.85,lb,wholesale,,true
2023-11-22,0.83,lb,wholesale,,true
2023-11-29,0.83,lb,wholesale,,true
2023-12-06,0.83,lb,wholesale,,true
2023-12-13,0.84,lb,wholesale,,true
2023-12-20,0.82,lb,wholesale,,true
2023-12-27,0.83,lb,wholesale,,true
2024-01-03,0.82,lb,wholesale,,true
2024-01-10,0.82,lb,wholesale,,true
2024-01-17,0.84,lb,wholesale,,true
2024-01-24,0.86,lb,wholesale,,true
2024-01-31,0.85,lb,wholesale,,true
2024-02-07,0.84,lb,wholesale,,true
2024-02-14,0.84,lb,wholesale,,true
2024-02-21,0.85,lb,wholesale,,true
2024-02-28,0.85,lb,wholesale,,true
2024-03-06,0.86,lb,wholesale,,true
2024-03-13,0.87,lb,wholesale,,true
2024-03-20,0.89,lb,wholesale,,true
2024-03-27,0.91,lb,wholesale,,true
2024-04-03,0.94,lb,wholesale,,true
2024-04-10,0.96,lb,wholesale,,true
2024-04-17,0.99,lb,wholesale,,true
2024-04-24,0.99,lb,wholesale,,true
2024-05-01,1.00,lb,wholesale,,true
2024-05-08,1.00,lb,wholesale,,true
2024-05-15,1.03,lb,wholesale,,true
2024-05-22,1.01,lb,wholesale,,true
2024-05-29,1.02,lb,wholesale,,true
2024-06-05,1.01,lb,wholesale,,true
2024-06-12,1.01,lb,wholesale,,true
2024-06-19,1.00,lb,wholesale,,true
2024-06-26,0.96,lb,wholesale,,true
2024-07-03,0.95,lb,wholesale,,true
2024-07-10,0.96,lb,wholesale,,true
2024-07-17,0.96,lb,wholesale,,true
2024-07-24,0.97,lb,wholesale,,true
2024-07-31,0.97,lb,wholesale,,true
2024-08-07,0.97,lb,wholesale,,true
2024-08-14,0.97,lb,wholesale,,true
2024-08-21,0.96,lb,wholesale,,true
2024-08-28,0.95,lb,wholesale,,true
2024-09-04,0.94,lb,wholesale,,true
2024-09-11,0.95,lb,wholesale,,true
2024-09-18,0.94,lb,wholesale,,true
2024-09-25,0.93,lb,wholesale,,true
2024-10-02,0.93,lb,wholesale,,true
2024-10-09,0.91,lb,wholesale,,true
2024-10-16,0.90,lb,wholesale,,true
2024-10-23,0.89,lb,wholesale,,true
2024-10-30,0.88,lb,wholesale,,true
2024-11-06,0.85,lb,wholesale,,true
2024-11-13,0.84,lb,wholesale,,true
2024-11-20,0.82,lb,wholesale,,true
2024-11-27,0.81,lb,wholesale,,true
2024-12-04,0.80,lb,wholesale,,true
2024-12-11,0.81,lb,wholesale,,true
2024-12-18,0.82,lb,wholesale,,true
2024-12-23,0.82,lb,wholesale,,true
2024-12-31,0.82,lb,wholesale,,true
2025-01-08,0.80,lb,wholesale,,true
2025-01-15,0.80,lb,wholesale,,true
2025-01-22,0.83,lb,wholesale,,true
2025-01-29,0.84,lb,wholesale,,true
2025-02-05,0.85,lb,wholesale,,true
2025-02-12,0.86,lb,wholesale,,true
2025-02-19,0.87,lb,wholesale,,true
2025-02-26,0.87,lb,wholesale,,true
2025-03-05,0.88,lb,wholesale,,true
2025-03-12,0.88,lb,wholesale,,true
2025-03-19,0.87,lb,wholesale,,true
2025-03-26,0.89,lb,wholesale,,true
2025-04-02,0.88,lb,wholesale,,true
2025-04-09,0.89,lb,wholesale,,true
2025-04-16,0.87,lb,wholesale,,true
2025-04-23,0.87,lb,wholesale,,true
2025-04-30,0.89,lb,wholesale,,true
2025-05-07,0.88,lb,wholesale,,true
2025-05-14,0.87,lb,wholesale,,true
2025-05-21,0.90,lb,wholesale,,true
2025-05-28,0.92,lb,wholesale,,true
2025-06-04,0.94,lb,wholesale,,true
2025-06-11,0.96,lb,wholesale,,true
2025-06-18,0.98,lb,wholesale,,true
2025-06-25,0.99,lb,wholesale,,true
2025-07-02,0.98,lb,wholesale,,true
2025-07-09,0.99,lb,wholesale,,true
2025-07-16,1.00,lb,wholesale,,true
2025-07-23,1.01,lb,wholesale,,true
2025-07-30,1.00,lb,wholesale,,true
2025-08-06,0.99,lb,wholesale,,true
2025-08-13,0.99,lb,wholesale,,true
2025-08-20,0.98,lb,wholesale,,true
2025-08-27,0.96,lb,wholesale,,true
2025-09-03,0.97,lb,wholesale,,true
2025-09-10,0.98,lb,wholesale,,true
2025-09-17,0.98,lb,wholesale,,true
2025-09-24,0.98,lb,wholesale,,true
2025-10-01,0.97,lb,wholesale,,true
2025-10-08,0.95,lb,wholesale,,true
2025-10-15,0.94,lb,wholesale,,true
2025-10-22,0.94,lb,wholesale,,true
2025-10-29,0.91,lb,wholesale,,true
2025-11-05,0.90,lb,wholesale,,true
2025-11-12,0.88,lb,wholesale,,true
2025-11-19,0.84,lb,wholesale,,true
2025-11-26,0.83,lb,wholesale,,true
2025-12-03,0.84,lb,wholesale,,true
2025-12-10,0.85,lb,wholesale,,true
2025-12-17,0.85,lb,wholesale,,true
2025-12-24,0.87,lb,wholesale,,true
2025-12-31,0.86,lb,wholesale,,true
2026-01-07,0.86,lb,wholesale,,true
2026-01-14,0.86,lb,wholesale,,true
2026-01-21,0.88,lb,wholesale,,true
2026-01-28,0.89,lb,wholesale,,true
2026-02-04,0.89,lb,wholesale,,true
2026-02-11,0.90,lb,wholesale,,true
2026-02-18,0.91,lb,wholesale,,true
2026-02-25,0.93,lb,wholesale,,true
2026-03-04,0.93,lb,wholesale,,true
2026-03-11,0.92,lb,wholesale,,true
2026-03-18,0.93,lb,wholesale,,true
