date,price_usd,unit,basis,source,reconstructed
2013-01-09,0.88,lb,wholesale,,true
2013-01-16,0.85,lb,wholesale,,true
2013-01-23,0.85,lb,wholesale,,true
2013-01-30,0.85,lb,wholesale,,true
2013-02-06,0.82,lb,wholesale,,true
2013-02-13,0.80,lb,wholesale,,true
2013-02-20,0.78,lb,wholesale,,true
2013-02-27,0.79,lb,wholesale,,true
2013-03-06,0.77,lb,wholesale,,true
2013-03-13,0.74,lb,wholesale,,true
2013-03-20,0.72,lb,wholesale,,true
2013-03-27,0.75,lb,wholesale,,true
2013-04-03,0.76,lb,wholesale,,true
2013-04-10,0.74,lb,wholesale,,true
2013-04-17,0.74,lb,wholesale,,true
2013-04-24,0.76,lb,wholesale,,true
2013-05-01,0.80,lb,wholesale,,true
2013-05-08,0.85,lb,wholesale,,true
2013-05-15,0.91,lb,wholesale,,true
2013-05-22,0.97,lb,wholesale,,true
2013-05-29,1.01,lb,wholesale,,true
2013-06-05,1.01,lb,wholesale,,true
2013-06-12,1.05,lb,wholesale,,true
2013-06-19,1.11,lb,wholesale,,true
2013-06-26,1.15,lb,wholesale,,true
2013-07-03,1.12,lb,wholesale,,true
2013-07-10,0.83,lb,wholesale,,true
2013-07-17,0.96,lb,wholesale,,true
2013-07-24,0.91,lb,wholesale,,true
2013-07-31,0.88,lb,wholesale,,true
2013-08-07,0.91,lb,wholesale,,true
2013-08-14,0.95,lb,wholesale,,true
2013-08-21,0.97,lb,wholesale,,true
2013-08-28,0.97,lb,wholesale,,true
2013-09-04,0.97,lb,wholesale,,true
2013-09-11,0.97,lb,wholesale,,true
2013-09-18,1.00,lb,wholesale,,true
2013-09-25,1.04,lb,wholesale,,true
2013-09-30,1.03,lb,wholesale,,true
2013-10-23,0.92,lb,wholesale,,true
2013-10-30,0.93,lb,wholesale,,true
2013-11-06,0.93,lb,wholesale,,true
2013-11-13,0.89,lb,wholesale,,true
2013-11-20,0.88,lb,wholesale,,true
2013-11-27,0.90,lb,wholesale,,true
2013-12-04,0.91,lb,wholesale,,true
2013-12-11,0.91,lb,wholesale,,true
2013-12-18,0.91,lb,wholesale,,true
2013-12-24,0.93,lb,wholesale,,true
2013-12-31,0.94,lb,wholesale,,true
2014-01-08,0.94,lb,wholesale,,true
2014-01-15,0.92,lb,wholesale,,true
2014-01-22,0.94,lb,wholesale,,true
2014-01-29,0.97,lb,wholesale,,true
2014-02-05,0.97,lb,wholesale,,true
2014-02-12,1.00,lb,wholesale,,true
2014-02-19,1.04,lb,wholesale,,true
2014-02-26,1.07,lb,wholesale,,true
2014-03-05,1.13,lb,wholesale,,true
2014-03-12,1.26,lb,wholesale,,true
2014-03-19,1.44,lb,wholesale,,true
2014-03-26,1.51,lb,wholesale,,true
2014-04-02,1.47,lb,wholesale,,true
2014-04-09,1.39,lb,wholesale,,true
2014-04-16,1.35,lb,wholesale,,true
2014-04-23,1.40,lb,wholesale,,true
2014-04-30,1.46,lb,wholesale,,true
2014-05-07,1.42,lb,wholesale,,true
2014-05-14,1.34,lb,wholesale,,true
2014-05-21,1.35,lb,wholesale,,true
2014-05-28,1.38,lb,wholesale,,true
2014-06-04,1.41,lb,wholesale,,true
2014-06-11,1.42,lb,wholesale,,true
2014-06-18,1.44,lb,wholesale,,true
2014-06-25,1.47,lb,wholesale,,true
2014-07-02,1.50,lb,wholesale,,true
2014-07-09,1.51,lb,wholesale,,true
2014-07-16,1.51,lb,wholesale,,true
2014-07-23,1.52,lb,wholesale,,true
2014-07-30,1.50,lb,wholesale,,true
2014-08-06,1.46,lb,wholesale,,true
2014-08-13,1.41,lb,wholesale,,true
2014-08-20,1.35,lb,wholesale,,true
2014-08-27,1.28,lb,wholesale,,true
2014-09-03,1.24,lb,wholesale,,true
2014-09-10,1.26,lb,wholesale,,true
2014-09-17,1.31,lb,wholesale,,true
2014-09-24,1.37,lb,wholesale,,true
2014-10-01,1.39,lb,wholesale,,true
2014-10-08,1.36,lb,wholesale,,true
2014-10-15,1.30,lb,wholesale,,true
2014-10-22,1.25,lb,wholesale,,true
2014-10-29,1.18,lb,wholesale,,true
2014-11-05,1.15,lb,wholesale,,true
2014-11-12,1.10,lb,wholesale,,true
2014-11-19,1.11,lb,wholesale,,true
2014-11-26,1.11,lb,wholesale,,true
2014-12-03,1.09,lb,wholesale,,true
2014-12-10,1.05,lb,wholesale,,true
2014-12-17,1.05,lb,wholesale,,true
2014-12-24,1.06,lb,wholesale,,true
2014-12-31,1.06,lb,wholesale,,true
2015-01-07,1.04,lb,wholesale,,true
2015-01-14,1.01,lb,wholesale,,true
2015-01-21,0.97,lb,wholesale,,true
2015-01-28,0.93,lb,wholesale,,true
2015-02-04,0.84,lb,wholesale,,true
2015-02-11,0.77,lb,wholesale,,true
2015-02-18,0.79,lb,wholesale,,true
2015-02-25,0.80,lb,wholesale,,true
2015-03-04,0.82,lb,wholesale,,true
2015-03-11,0.81,lb,wholesale,,true
2015-03-18,0.84,lb,wholesale,,true
2015-03-25,0.87,lb,wholesale,,true
2015-04-01,0.87,lb,wholesale,,true
2015-04-08,0.85,lb,wholesale,,true
2015-04-15,0.81,lb,wholesale,,true
2015-04-22,0.80,lb,wholesale,,true
2015-04-29,0.85,lb,wholesale,,true
2015-05-06,0.94,lb,wholesale,,true
