year,qtr,industry_code,industry,avg_wkly_wage,establishments,avg_employment,oty_wage_pct_chg
2019,1,722,Food services & drinking places,486,1873,31470,1.2
2019,1,7225,Restaurants & other eating places,433,1674,29158,3.3
2019,2,722,Food services & drinking places,479,1890,32588,5
2019,2,7225,Restaurants & other eating places,450,1690,29956,5.6
2019,3,722,Food services & drinking places,498,1896,32654,6.9
2019,3,7225,Restaurants & other eating places,458,1692,30104,5.5
2019,4,722,Food services & drinking places,500,1911,32643,4.6
2019,4,7225,Restaurants & other eating places,467,1713,29962,4.7
2020,1,722,Food services & drinking places,522,1913,31419,7.4
2020,1,7225,Restaurants & other eating places,459,1714,29069,6
2020,2,722,Food services & drinking places,495,1856,18690,3.3
2020,2,7225,Restaurants & other eating places,451,1662,17391,0.2
2020,3,722,Food services & drinking places,502,1831,23635,0.8
2020,3,7225,Restaurants & other eating places,480,1641,22306,4.8
2020,4,722,Food services & drinking places,521,1839,23826,4.2
2020,4,7225,Restaurants & other eating places,488,1652,22465,4.5
2021,1,722,Food services & drinking places,474,1790,22832,-9.2
2021,1,7225,Restaurants & other eating places,448,1613,21431,-2.4
2021,2,722,Food services & drinking places,538,1799,25980,8.7
2021,2,7225,Restaurants & other eating places,511,1624,24268,13.3
2021,3,722,Food services & drinking places,571,1791,28070,13.7
2021,3,7225,Restaurants & other eating places,544,1618,26037,13.3
2021,4,722,Food services & drinking places,585,1804,28416,12.3
2021,4,7225,Restaurants & other eating places,557,1630,26212,14.1
2022,1,722,Food services & drinking places,553,1799,27206,16.7
2022,1,7225,Restaurants & other eating places,501,1605,25114,11.8
2022,2,722,Food services & drinking places,561,1825,28530,4.3
2022,2,7225,Restaurants & other eating places,534,1628,26163,4.5
2022,3,722,Food services & drinking places,595,1858,29178,4.2
2022,3,7225,Restaurants & other eating places,563,1655,26778,3.5
2022,4,722,Food services & drinking places,601,1867,28705,2.7
2022,4,7225,Restaurants & other eating places,568,1661,26034,2
2023,1,722,Food services & drinking places,622,1819,28930,12.5
2023,1,7225,Restaurants & other eating places,559,1611,26573,11.6
2023,2,722,Food services & drinking places,598,1830,29927,6.6
2023,2,7225,Restaurants & other eating places,559,1618,27381,4.7
2023,3,722,Food services & drinking places,593,1853,30278,-0.3
2023,3,7225,Restaurants & other eating places,562,1635,27905,-0.2
2023,4,722,Food services & drinking places,623,1883,29073,3.7
2023,4,7225,Restaurants & other eating places,587,1657,26725,3.3
2024,1,722,Food services & drinking places,647,1890,29489,4
2024,1,7225,Restaurants & other eating places,577,1666,27228,3.2
2024,2,722,Food services & drinking places,613,1903,30570,2.5
2024,2,7225,Restaurants & other eating places,585,1676,28065,4.7
2024,3,722,Food services & drinking places,620,1916,30239,4.6
2024,3,7225,Restaurants & other eating places,589,1687,27764,4.8
2024,4,722,Food services & drinking places,645,1918,29799,3.5
2024,4,7225,Restaurants & other eating places,612,1693,27314,4.3
2025,1,722,Food services & drinking places,646,1956,29314,-0.2
2025,1,7225,Restaurants & other eating places,581,1728,27048,0.7
2025,2,722,Food services & drinking places,629,1979,30249,2.6
2025,2,7225,Restaurants & other eating places,600,1747,27752,2.6
2025,3,722,Food services & drinking places,642,1954,30104,3.5
2025,3,7225,Restaurants & other eating places,606,1729,27767,2.9
2025,4,722,Food services & drinking places,666,1954,29579,3.3
2025,4,7225,Restaurants & other eating places,626,1730,27083,2.3
