date,price_usd,unit,basis,source,reconstructed
2023-06-14,28.60,carton,wholesale,,true
2023-06-21,16.88,carton,wholesale,,true
2023-06-28,18.20,carton,wholesale,,true
2023-07-05,27.63,carton,wholesale,,true
2023-07-12,28.20,carton,wholesale,,true
2023-07-19,26.50,carton,wholesale,,true
2023-07-26,30.40,carton,wholesale,,true
2023-08-02,38.70,carton,wholesale,,true
2023-08-09,38.75,carton,wholesale,,true
2023-08-16,33.20,carton,wholesale,,true
2023-08-23,24.50,carton,wholesale,,true
2023-08-30,16.10,carton,wholesale,,true
2023-09-06,15.75,carton,wholesale,,true
2023-09-13,23.65,carton,wholesale,,true
2023-09-20,27.10,carton,wholesale,,true
2023-09-27,14.65,carton,wholesale,,true
2023-10-04,20.15,carton,wholesale,,true
2023-10-11,21.69,carton,wholesale,,true
2023-10-18,17.10,carton,wholesale,,true
2023-10-25,15.50,carton,wholesale,,true
2023-11-01,12.50,carton,wholesale,,true
2023-11-08,10.25,carton,wholesale,,true
2023-11-15,9.69,carton,wholesale,,true
2023-11-22,8.80,carton,wholesale,,true
2023-11-29,6.25,carton,wholesale,,true
2023-12-06,9.50,carton,wholesale,,true
2023-12-13,14.70,carton,wholesale,,true
2023-12-20,17.65,carton,wholesale,,true
2023-12-27,24.63,carton,wholesale,,true
2024-01-03,29.63,carton,wholesale,,true
2024-01-10,27.40,carton,wholesale,,true
2024-01-17,26.63,carton,wholesale,,true
2024-01-24,23.45,carton,wholesale,,true
2024-01-31,23.90,carton,wholesale,,true
2024-02-07,24.40,carton,wholesale,,true
2024-02-14,28.20,carton,wholesale,,true
2024-02-21,34.88,carton,wholesale,,true
2024-02-28,34.65,carton,wholesale,,true
2024-03-06,36.85,carton,wholesale,,true
2024-03-13,32.50,carton,wholesale,,true
2024-03-20,24.10,carton,wholesale,,true
2024-03-27,25.10,carton,wholesale,,true
2024-04-03,30.20,carton,wholesale,,true
2024-04-10,28.50,carton,wholesale,,true
2024-04-17,32.40,carton,wholesale,,true
2024-04-24,34.80,carton,wholesale,,true
2024-05-01,37.80,carton,wholesale,,true
2024-05-08,38.40,carton,wholesale,,true
2024-05-15,35.50,carton,wholesale,,true
2024-05-22,23.75,carton,wholesale,,true
2024-05-29,16.13,carton,wholesale,,true
2024-06-05,12.50,carton,wholesale,,true
2024-06-12,13.20,carton,wholesale,,true
2024-06-18,12.88,carton,wholesale,,true
2024-06-26,13.65,carton,wholesale,,true
2024-07-03,8.40,carton,wholesale,,true
2024-07-10,13.88,carton,wholesale,,true
2024-07-17,9.00,carton,wholesale,,true
2024-07-24,16.90,carton,wholesale,,true
2024-07-31,22.40,carton,wholesale,,true
2024-08-07,23.40,carton,wholesale,,true
2024-08-14,16.40,carton,wholesale,,true
2024-08-21,12.20,carton,wholesale,,true
2024-08-28,19.70,carton,wholesale,,true
2024-09-04,25.50,carton,wholesale,,true
2024-09-11,31.30,carton,wholesale,,true
2024-09-18,33.00,carton,wholesale,,true
2024-09-25,28.85,carton,wholesale,,true
2024-10-02,14.95,carton,wholesale,,true
2024-10-09,9.50,carton,wholesale,,true
2024-10-16,11.00,carton,wholesale,,true
2024-10-23,9.65,carton,wholesale,,true
2024-10-30,14.70,carton,wholesale,,true
2024-11-06,20.70,carton,wholesale,,true
2024-11-13,21.75,carton,wholesale,,true
2024-11-20,25.50,carton,wholesale,,true
2024-11-27,24.90,carton,wholesale,,true
2024-12-04,25.13,carton,wholesale,,true
2024-12-11,13.30,carton,wholesale,,true
2024-12-18,16.95,carton,wholesale,,true
2024-12-23,16.00,carton,wholesale,,true
2024-12-31,19.75,carton,wholesale,,true
2025-01-08,17.60,carton,wholesale,,true
2025-01-15,23.25,carton,wholesale,,true
2025-01-22,22.94,carton,wholesale,,true
2025-01-29,27.70,carton,wholesale,,true
2025-02-05,35.80,carton,wholesale,,true
2025-02-12,37.85,carton,wholesale,,true
2025-02-19,25.00,carton,wholesale,,true
2025-02-26,22.10,carton,wholesale,,true
2025-03-05,25.05,carton,wholesale,,true
2025-03-12,24.31,carton,wholesale,,true
2025-03-19,25.60,carton,wholesale,,true
2025-03-26,19.80,carton,wholesale,,true
2025-04-02,18.50,carton,wholesale,,true
2025-04-09,17.20,carton,wholesale,,true
2025-04-16,20.60,carton,wholesale,,true
2025-04-23,25.10,carton,wholesale,,true
2025-04-30,31.69,carton,wholesale,,true
2025-05-07,37.50,carton,wholesale,,true
2025-05-14,32.10,carton,wholesale,,true
2025-05-21,21.90,carton,wholesale,,true
2025-05-28,17.25,carton,wholesale,,true
2025-06-04,12.00,carton,wholesale,,true
2025-06-11,7.10,carton,wholesale,,true
2025-06-18,11.30,carton,wholesale,,true
2025-06-25,11.25,carton,wholesale,,true
2025-07-02,8.60,carton,wholesale,,true
2025-07-09,6.75,carton,wholesale,,true
2025-07-16,9.60,carton,wholesale,,true
2025-07-23,11.45,carton,wholesale,,true
2025-07-30,11.10,carton,wholesale,,true
2025-08-06,11.10,carton,wholesale,,true
2025-08-13,16.40,carton,wholesale,,true
2025-08-20,17.20,carton,wholesale,,true
2025-08-27,20.70,carton,wholesale,,true
2025-09-03,20.63,carton,wholesale,,true
2025-09-10,18.60,carton,wholesale,,true
2025-09-17,16.20,carton,wholesale,,true
2025-09-24,9.95,carton,wholesale,,true
2025-10-01,6.60,carton,wholesale,,true
2025-10-08,15.55,carton,wholesale,,true
2025-10-15,12.00,carton,wholesale,,true
2025-10-22,14.50,carton,wholesale,,true
2025-10-29,18.75,carton,wholesale,,true
2025-11-05,18.90,carton,wholesale,,true
2025-11-12,21.38,carton,wholesale,,true
2025-11-19,9.88,carton,wholesale,,true
2025-11-26,16.00,carton,wholesale,,true
2025-12-03,17.06,carton,wholesale,,true
2025-12-10,23.68,carton,wholesale,,true
2025-12-17,29.85,carton,wholesale,,true
2025-12-23,37.25,carton,wholesale,,true
2025-12-31,35.08,carton,wholesale,,true
2026-01-07,23.69,carton,wholesale,,true
2026-01-14,19.80,carton,wholesale,,true
2026-01-21,15.63,carton,wholesale,,true
2026-01-28,19.50,carton,wholesale,,true
2026-02-04,24.35,carton,wholesale,,true
