date,price_usd,unit,basis,source,reconstructed
2001-04-25,8.25,carton,wholesale,,true
2001-05-02,7.40,carton,wholesale,,true
2001-05-09,6.75,carton,wholesale,,true
2001-05-16,6.80,carton,wholesale,,true
2001-05-23,6.65,carton,wholesale,,true
2001-05-30,6.47,carton,wholesale,,true
2001-06-06,6.63,carton,wholesale,,true
2001-06-13,7.00,carton,wholesale,,true
2001-06-20,6.90,carton,wholesale,,true
2001-06-27,6.55,carton,wholesale,,true
2001-07-03,6.63,carton,wholesale,,true
2001-07-11,6.95,carton,wholesale,,true
2001-07-18,7.20,carton,wholesale,,true
2001-07-25,7.48,carton,wholesale,,true
2001-08-01,9.80,carton,wholesale,,true
2001-08-06,9.75,carton,wholesale,,true
2001-08-15,7.92,carton,wholesale,,true
2001-08-22,11.25,carton,wholesale,,true
2001-08-29,14.00,carton,wholesale,,true
2001-09-05,12.00,carton,wholesale,,true
2001-09-12,10.35,carton,wholesale,,true
2001-09-19,9.65,carton,wholesale,,true
2001-09-26,7.70,carton,wholesale,,true
2001-10-03,7.00,carton,wholesale,,true
2001-10-10,6.94,carton,wholesale,,true
2001-10-17,7.05,carton,wholesale,,true
2001-10-24,6.70,carton,wholesale,,true
2001-10-31,6.50,carton,wholesale,,true
2001-11-07,6.30,carton,wholesale,,true
2001-11-14,6.00,carton,wholesale,,true
2001-11-21,7.75,carton,wholesale,,true
2001-11-28,7.56,carton,wholesale,,true
2001-12-05,7.70,carton,wholesale,,true
2001-12-12,7.60,carton,wholesale,,true
2001-12-19,9.10,carton,wholesale,,true
2001-12-26,10.25,carton,wholesale,,true
2002-01-02,14.81,carton,wholesale,,true
2002-01-09,18.30,carton,wholesale,,true
2002-01-16,15.85,carton,wholesale,,true
2002-01-23,13.69,carton,wholesale,,true
2002-01-30,17.30,carton,wholesale,,true
2002-02-06,21.30,carton,wholesale,,true
2002-02-13,28.85,carton,wholesale,,true
2002-02-20,38.88,carton,wholesale,,true
2002-02-27,30.70,carton,wholesale,,true
2002-03-06,25.65,carton,wholesale,,true
2002-03-13,22.50,carton,wholesale,,true
2002-03-20,14.10,carton,wholesale,,true
2002-03-27,12.75,carton,wholesale,,true
2002-04-03,8.19,carton,wholesale,,true
2002-04-10,6.84,carton,wholesale,,true
2002-04-17,6.90,carton,wholesale,,true
2002-04-24,6.75,carton,wholesale,,true
2002-05-01,6.50,carton,wholesale,,true
2002-05-08,6.60,carton,wholesale,,true
2002-05-15,6.38,carton,wholesale,,true
2002-05-22,6.80,carton,wholesale,,true
2002-05-29,7.56,carton,wholesale,,true
2002-06-05,6.95,carton,wholesale,,true
2002-06-12,6.38,carton,wholesale,,true
2002-06-19,6.35,carton,wholesale,,true
2002-06-26,7.70,carton,wholesale,,true
2002-07-03,7.55,carton,wholesale,,true
2002-07-10,7.81,carton,wholesale,,true
2002-07-17,7.35,carton,wholesale,,true
2002-07-24,7.20,carton,wholesale,,true
2002-07-31,8.00,carton,wholesale,,true
2002-08-07,7.60,carton,wholesale,,true
2002-08-14,8.10,carton,wholesale,,true
2002-08-21,8.50,carton,wholesale,,true
2002-08-28,8.05,carton,wholesale,,true
2002-09-04,8.50,carton,wholesale,,true
2002-09-11,8.25,carton,wholesale,,true
2002-09-18,8.30,carton,wholesale,,true
2002-09-25,8.00,carton,wholesale,,true
2002-10-02,7.50,carton,wholesale,,true
2002-10-09,7.10,carton,wholesale,,true
2002-10-16,7.13,carton,wholesale,,true
2002-10-23,7.00,carton,wholesale,,true
2002-10-30,7.00,carton,wholesale,,true
2002-11-06,7.00,carton,wholesale,,true
2002-11-13,8.31,carton,wholesale,,true
2002-11-20,8.30,carton,wholesale,,true
2002-11-27,7.65,carton,wholesale,,true
2002-12-04,7.75,carton,wholesale,,true
2002-12-11,7.65,carton,wholesale,,true
2002-12-18,7.30,carton,wholesale,,true
2002-12-24,6.69,carton,wholesale,,true
2002-12-31,7.10,carton,wholesale,,true
2003-01-08,7.75,carton,wholesale,,true
2003-01-15,7.75,carton,wholesale,,true
2003-01-22,7.75,carton,wholesale,,true
2003-01-29,6.95,carton,wholesale,,true
2003-02-05,6.25,carton,wholesale,,true
2003-02-12,7.00,carton,wholesale,,true
2003-02-19,10.00,carton,wholesale,,true
2003-02-26,8.35,carton,wholesale,,true
2003-03-05,8.00,carton,wholesale,,true
2003-03-12,8.20,carton,wholesale,,true
2003-03-19,8.00,carton,wholesale,,true
2003-03-26,7.40,carton,wholesale,,true
2003-04-02,7.45,carton,wholesale,,true
2003-04-09,9.30,carton,wholesale,,true
2003-04-16,10.65,carton,wholesale,,true
2003-04-23,10.30,carton,wholesale,,true
2003-04-30,10.65,carton,wholesale,,true
2003-05-07,12.70,carton,wholesale,,true
2003-05-14,11.00,carton,wholesale,,true
2003-05-21,9.20,carton,wholesale,,true
2003-05-28,8.75,carton,wholesale,,true
2003-06-04,9.90,carton,wholesale,,true
2003-06-11,9.90,carton,wholesale,,true
2003-06-18,9.00,carton,wholesale,,true
2003-06-25,7.30,carton,wholesale,,true
2003-07-02,7.00,carton,wholesale,,true
2003-07-09,7.25,carton,wholesale,,true
2003-07-16,7.25,carton,wholesale,,true
2003-07-23,7.00,carton,wholesale,,true
2003-07-30,6.85,carton,wholesale,,true
2003-08-06,6.80,carton,wholesale,,true
2003-08-13,6.75,carton,wholesale,,true
2003-08-20,8.20,carton,wholesale,,true
2003-08-27,11.40,carton,wholesale,,true
2003-09-03,12.81,carton,wholesale,,true
2003-09-10,11.55,carton,wholesale,,true
2003-09-17,9.70,carton,wholesale,,true
2003-09-24,8.80,carton,wholesale,,true
2003-10-01,8.95,carton,wholesale,,true
2003-10-08,9.40,carton,wholesale,,true
2003-10-15,9.81,carton,wholesale,,true
2003-10-22,7.58,carton,wholesale,,true
2003-10-29,7.30,carton,wholesale,,true
2003-11-05,7.10,carton,wholesale,,true
2003-11-12,7.69,carton,wholesale,,true
2003-11-19,7.85,carton,wholesale,,true
2003-11-26,7.80,carton,wholesale,,true
2003-12-03,8.85,carton,wholesale,,true
2003-12-10,11.88,carton,wholesale,,true
2003-12-17,18.85,carton,wholesale,,true
2003-12-24,19.50,carton,wholesale,,true
2003-12-31,18.29,carton,wholesale,,true
2004-01-07,17.91,carton,wholesale,,true
2004-01-14,18.08,carton,wholesale,,true
2004-01-21,13.63,carton,wholesale,,true
2004-01-28,9.28,carton,wholesale,,true
2004-02-04,7.80,carton,wholesale,,true
2004-02-11,7.45,carton,wholesale,,true
2004-02-18,7.28,carton,wholesale,,true
2004-02-25,8.13,carton,wholesale,,true
2004-03-03,7.95,carton,wholesale,,true
2004-03-10,7.03,carton,wholesale,,true
2004-03-17,7.13,carton,wholesale,,true
2004-03-24,7.03,carton,wholesale,,true
2004-03-31,7.00,carton,wholesale,,true
2004-04-07,7.00,carton,wholesale,,true
2004-04-14,7.55,carton,wholesale,,true
2004-04-21,7.00,carton,wholesale,,true
2004-04-28,7.20,carton,wholesale,,true
2004-05-05,6.50,carton,wholesale,,true
2004-05-12,6.90,carton,wholesale,,true
2004-05-19,6.75,carton,wholesale,,true
2004-05-26,6.70,carton,wholesale,,true
2004-06-02,7.13,carton,wholesale,,true
2004-06-09,7.50,carton,wholesale,,true
2004-06-16,6.94,carton,wholesale,,true
2004-06-23,7.30,carton,wholesale,,true
2004-06-30,7.15,carton,wholesale,,true
2004-07-07,7.38,carton,wholesale,,true
2004-07-14,7.20,carton,wholesale,,true
2004-07-21,7.10,carton,wholesale,,true
2004-07-28,7.10,carton,wholesale,,true
2004-08-04,7.40,carton,wholesale,,true
2004-08-11,8.85,carton,wholesale,,true
2004-08-18,11.15,carton,wholesale,,true
2004-08-25,11.55,carton,wholesale,,true
2004-09-01,10.75,carton,wholesale,,true
2004-09-08,13.81,carton,wholesale,,true
2004-09-15,17.20,carton,wholesale,,true
2004-09-22,15.10,carton,wholesale,,true
2004-09-29,10.50,carton,wholesale,,true
2004-10-06,8.95,carton,wholesale,,true
2004-10-13,8.31,carton,wholesale,,true
2004-10-20,7.60,carton,wholesale,,true
2004-10-27,8.80,carton,wholesale,,true
2004-11-03,7.85,carton,wholesale,,true
2004-11-10,8.08,carton,wholesale,,true
2004-11-17,11.44,carton,wholesale,,true
2004-11-24,10.05,carton,wholesale,,true
2004-12-01,9.63,carton,wholesale,,true
2004-12-08,12.35,carton,wholesale,,true
2004-12-15,18.10,carton,wholesale,,true
2004-12-22,13.80,carton,wholesale,,true
2004-12-29,11.71,carton,wholesale,,true
2005-01-05,10.50,carton,wholesale,,true
2005-01-12,11.65,carton,wholesale,,true
2005-01-19,9.81,carton,wholesale,,true
2005-01-26,7.83,carton,wholesale,,true
2005-02-02,7.53,carton,wholesale,,true
2005-02-09,7.35,carton,wholesale,,true
2005-02-16,9.23,carton,wholesale,,true
2005-02-23,10.44,carton,wholesale,,true
2005-03-02,8.83,carton,wholesale,,true
2005-03-09,9.20,carton,wholesale,,true
2005-03-16,18.05,carton,wholesale,,true
2005-03-23,21.15,carton,wholesale,,true
2005-03-30,18.70,carton,wholesale,,true
2005-04-06,13.95,carton,wholesale,,true
2005-04-13,16.90,carton,wholesale,,true
2005-04-20,21.40,carton,wholesale,,true
2005-04-27,20.15,carton,wholesale,,true
2005-05-04,17.95,carton,wholesale,,true
2005-05-11,12.55,carton,wholesale,,true
2005-05-18,8.15,carton,wholesale,,true
2005-05-25,8.20,carton,wholesale,,true
2005-06-01,8.19,carton,wholesale,,true
