date,price_usd,unit,basis,source,reconstructed
2001-04-25,15.50,sack,wholesale,,true
2001-05-02,15.50,sack,wholesale,,true
2001-05-09,15.50,sack,wholesale,,true
2001-05-16,15.50,sack,wholesale,,true
2001-05-23,15.50,sack,wholesale,,true
2001-05-30,11.94,sack,wholesale,,true
2001-06-06,10.75,sack,wholesale,,true
2001-06-13,10.75,sack,wholesale,,true
2001-06-20,10.75,sack,wholesale,,true
2001-06-27,10.75,sack,wholesale,,true
2001-07-03,10.75,sack,wholesale,,true
2001-07-11,10.75,sack,wholesale,,true
2001-07-18,10.75,sack,wholesale,,true
2001-07-25,14.20,sack,wholesale,,true
2001-08-01,16.50,sack,wholesale,,true
2001-08-06,16.50,sack,wholesale,,true
2001-08-15,16.50,sack,wholesale,,true
2001-08-22,16.50,sack,wholesale,,true
2001-08-29,14.90,sack,wholesale,,true
2001-09-05,14.50,sack,wholesale,,true
2001-09-12,14.50,sack,wholesale,,true
2001-09-19,14.90,sack,wholesale,,true
2001-09-26,14.50,sack,wholesale,,true
2001-10-03,14.50,sack,wholesale,,true
2001-10-10,14.25,sack,wholesale,,true
2001-10-17,14.25,sack,wholesale,,true
2001-10-24,14.25,sack,wholesale,,true
2001-10-31,14.35,sack,wholesale,,true
2001-11-07,14.85,sack,wholesale,,true
2001-11-14,15.00,sack,wholesale,,true
2001-11-21,15.00,sack,wholesale,,true
2001-11-28,15.00,sack,wholesale,,true
2001-12-05,15.00,sack,wholesale,,true
2001-12-12,14.25,sack,wholesale,,true
2001-12-19,14.25,sack,wholesale,,true
2001-12-26,13.00,sack,wholesale,,true
2002-01-02,13.00,sack,wholesale,,true
2002-01-09,13.00,sack,wholesale,,true
2002-01-16,14.20,sack,wholesale,,true
2002-01-23,15.00,sack,wholesale,,true
2002-01-30,14.40,sack,wholesale,,true
2002-02-06,14.25,sack,wholesale,,true
2002-02-13,14.25,sack,wholesale,,true
2002-02-20,14.25,sack,wholesale,,true
2002-02-27,14.25,sack,wholesale,,true
2002-03-06,14.25,sack,wholesale,,true
2002-03-13,14.85,sack,wholesale,,true
2002-03-20,18.25,sack,wholesale,,true
2002-03-27,21.75,sack,wholesale,,true
2002-04-03,21.75,sack,wholesale,,true
2002-04-10,21.75,sack,wholesale,,true
2002-04-17,21.75,sack,wholesale,,true
2002-04-24,21.75,sack,wholesale,,true
2002-05-01,23.50,sack,wholesale,,true
2002-05-08,23.50,sack,wholesale,,true
2002-05-15,23.40,sack,wholesale,,true
2002-05-22,24.25,sack,wholesale,,true
2002-05-29,23.50,sack,wholesale,,true
2002-06-05,21.80,sack,wholesale,,true
2002-06-12,19.20,sack,wholesale,,true
2002-06-19,17.80,sack,wholesale,,true
2002-06-26,17.20,sack,wholesale,,true
2002-07-03,18.00,sack,wholesale,,true
2002-07-10,18.00,sack,wholesale,,true
2002-07-17,18.05,sack,wholesale,,true
2002-07-24,18.25,sack,wholesale,,true
2002-07-31,18.20,sack,wholesale,,true
2002-08-07,18.00,sack,wholesale,,true
2002-08-14,18.00,sack,wholesale,,true
2002-08-21,17.80,sack,wholesale,,true
2002-08-28,17.00,sack,wholesale,,true
2002-09-04,16.06,sack,wholesale,,true
2002-09-11,14.90,sack,wholesale,,true
2002-09-18,18.68,sack,wholesale,,true
2002-09-25,17.60,sack,wholesale,,true
2002-10-02,15.50,sack,wholesale,,true
2002-10-09,16.30,sack,wholesale,,true
2002-10-16,18.00,sack,wholesale,,true
2002-10-23,18.00,sack,wholesale,,true
2002-10-30,18.00,sack,wholesale,,true
2002-11-06,18.80,sack,wholesale,,true
2002-11-13,19.00,sack,wholesale,,true
2002-11-20,19.00,sack,wholesale,,true
2002-11-27,18.40,sack,wholesale,,true
2002-12-04,15.60,sack,wholesale,,true
2002-12-11,16.88,sack,wholesale,,true
2002-12-18,18.40,sack,wholesale,,true
2002-12-24,19.75,sack,wholesale,,true
2002-12-31,19.75,sack,wholesale,,true
2003-01-08,19.75,sack,wholesale,,true
2003-01-15,19.05,sack,wholesale,,true
2003-01-22,18.50,sack,wholesale,,true
2003-01-29,18.45,sack,wholesale,,true
2003-02-05,18.88,sack,wholesale,,true
2003-02-12,18.88,sack,wholesale,,true
2003-02-19,18.57,sack,wholesale,,true
2003-02-26,18.70,sack,wholesale,,true
2003-03-05,17.40,sack,wholesale,,true
2003-03-12,17.40,sack,wholesale,,true
2003-03-19,17.40,sack,wholesale,,true
2003-03-26,17.00,sack,wholesale,,true
2003-04-02,17.50,sack,wholesale,,true
2003-04-09,17.50,sack,wholesale,,true
2003-04-16,17.50,sack,wholesale,,true
2003-04-23,17.45,sack,wholesale,,true
2003-04-30,17.25,sack,wholesale,,true
2003-05-07,17.25,sack,wholesale,,true
2003-05-14,16.50,sack,wholesale,,true
2003-05-21,16.00,sack,wholesale,,true
2003-05-28,15.50,sack,wholesale,,true
2003-06-04,14.00,sack,wholesale,,true
2003-06-11,14.00,sack,wholesale,,true
2003-06-18,13.20,sack,wholesale,,true
2003-06-25,10.00,sack,wholesale,,true
2003-07-02,10.00,sack,wholesale,,true
2003-07-09,10.50,sack,wholesale,,true
2003-07-16,12.20,sack,wholesale,,true
2003-07-23,13.45,sack,wholesale,,true
2003-07-30,13.90,sack,wholesale,,true
2003-08-06,13.35,sack,wholesale,,true
2003-08-13,13.25,sack,wholesale,,true
2003-08-20,12.15,sack,wholesale,,true
2003-08-27,13.40,sack,wholesale,,true
2003-09-03,13.13,sack,wholesale,,true
2003-09-10,14.10,sack,wholesale,,true
2003-09-17,16.38,sack,wholesale,,true
2003-09-24,16.38,sack,wholesale,,true
2003-10-01,14.63,sack,wholesale,,true
2003-10-08,14.80,sack,wholesale,,true
2003-10-15,14.50,sack,wholesale,,true
2003-10-22,15.00,sack,wholesale,,true
2003-10-29,15.00,sack,wholesale,,true
2003-11-05,15.60,sack,wholesale,,true
2003-11-12,16.50,sack,wholesale,,true
2003-11-19,16.50,sack,wholesale,,true
2003-11-26,15.30,sack,wholesale,,true
2003-12-03,15.63,sack,wholesale,,true
2003-12-10,16.00,sack,wholesale,,true
2003-12-17,15.50,sack,wholesale,,true
2003-12-24,15.50,sack,wholesale,,true
2003-12-31,14.25,sack,wholesale,,true
2004-01-07,13.88,sack,wholesale,,true
2004-01-14,13.65,sack,wholesale,,true
2004-01-21,14.25,sack,wholesale,,true
2004-01-28,14.25,sack,wholesale,,true
2004-02-04,14.25,sack,wholesale,,true
2004-02-11,14.00,sack,wholesale,,true
2004-02-18,18.50,sack,wholesale,,true
2004-02-25,18.50,sack,wholesale,,true
2004-03-03,18.20,sack,wholesale,,true
2004-03-10,17.75,sack,wholesale,,true
2004-03-17,17.75,sack,wholesale,,true
2004-03-24,17.68,sack,wholesale,,true
2004-03-31,17.35,sack,wholesale,,true
2004-04-07,16.25,sack,wholesale,,true
2004-04-14,16.25,sack,wholesale,,true
2004-04-21,16.25,sack,wholesale,,true
2004-04-28,15.80,sack,wholesale,,true
2004-05-05,15.50,sack,wholesale,,true
2004-05-12,15.50,sack,wholesale,,true
2004-05-19,14.10,sack,wholesale,,true
2004-05-26,13.13,sack,wholesale,,true
2004-06-02,12.60,sack,wholesale,,true
2004-06-09,11.00,sack,wholesale,,true
2004-06-16,10.75,sack,wholesale,,true
2004-06-23,10.50,sack,wholesale,,true
2004-06-30,10.50,sack,wholesale,,true
2004-07-07,10.69,sack,wholesale,,true
