date,price_usd,unit,basis,source,reconstructed
2001-04-18,4.69,lb,wholesale,,true
2001-04-25,3.85,lb,wholesale,,true
2001-05-02,5.04,lb,wholesale,,true
2001-05-09,4.05,lb,wholesale,,true
2001-05-16,5.34,lb,wholesale,,true
2001-05-23,3.22,lb,wholesale,,true
2001-05-30,4.94,lb,wholesale,,true
2001-06-06,4.07,lb,wholesale,,true
2001-06-13,4.55,lb,wholesale,,true
2001-06-20,4.45,lb,wholesale,,true
2001-06-27,4.15,lb,wholesale,,true
2001-07-03,2.99,lb,wholesale,,true
2001-07-11,4.12,lb,wholesale,,true
2001-07-18,2.29,lb,wholesale,,true
2001-07-25,3.19,lb,wholesale,,true
2001-08-01,3.46,lb,wholesale,,true
2001-08-08,2.46,lb,wholesale,,true
2001-08-15,3.42,lb,wholesale,,true
2001-08-22,4.54,lb,wholesale,,true
2001-08-29,4.56,lb,wholesale,,true
2001-09-05,4.35,lb,wholesale,,true
2001-09-12,4.38,lb,wholesale,,true
2001-09-19,4.52,lb,wholesale,,true
2001-09-26,4.38,lb,wholesale,,true
2001-10-03,4.05,lb,wholesale,,true
2001-10-10,3.91,lb,wholesale,,true
2001-10-17,3.94,lb,wholesale,,true
2001-10-24,3.85,lb,wholesale,,true
2001-10-31,3.69,lb,wholesale,,true
2001-11-07,3.83,lb,wholesale,,true
2001-11-14,3.79,lb,wholesale,,true
2001-11-21,3.97,lb,wholesale,,true
2001-11-28,4.66,lb,wholesale,,true
2001-12-05,4.79,lb,wholesale,,true
2001-12-12,4.81,lb,wholesale,,true
2001-12-19,4.51,lb,wholesale,,true
2001-12-26,3.95,lb,wholesale,,true
2002-01-02,3.59,lb,wholesale,,true
2002-01-09,3.54,lb,wholesale,,true
2002-01-16,3.52,lb,wholesale,,true
2002-01-23,3.60,lb,wholesale,,true
2002-01-30,3.63,lb,wholesale,,true
2002-02-06,4.00,lb,wholesale,,true
2002-02-13,4.36,lb,wholesale,,true
2002-02-20,4.30,lb,wholesale,,true
2002-02-27,4.31,lb,wholesale,,true
2002-03-06,4.49,lb,wholesale,,true
2002-03-13,4.80,lb,wholesale,,true
2002-03-20,4.68,lb,wholesale,,true
2002-03-27,4.51,lb,wholesale,,true
2002-04-03,4.35,lb,wholesale,,true
2002-04-10,4.31,lb,wholesale,,true
2002-04-17,4.33,lb,wholesale,,true
2002-04-24,4.26,lb,wholesale,,true
2002-05-01,4.16,lb,wholesale,,true
2002-05-08,4.06,lb,wholesale,,true
2002-05-15,4.15,lb,wholesale,,true
2002-05-22,4.37,lb,wholesale,,true
2002-05-29,4.27,lb,wholesale,,true
2002-06-05,4.22,lb,wholesale,,true
2002-06-12,4.09,lb,wholesale,,true
2002-06-19,4.08,lb,wholesale,,true
2002-06-26,4.15,lb,wholesale,,true
2002-07-03,4.01,lb,wholesale,,true
2002-07-10,3.92,lb,wholesale,,true
2002-07-17,3.98,lb,wholesale,,true
2002-07-24,4.18,lb,wholesale,,true
2002-07-31,4.11,lb,wholesale,,true
2002-08-07,4.10,lb,wholesale,,true
2002-08-14,4.20,lb,wholesale,,true
2002-08-21,4.33,lb,wholesale,,true
2002-08-28,4.32,lb,wholesale,,true
2002-09-04,4.23,lb,wholesale,,true
2002-09-11,4.04,lb,wholesale,,true
2002-09-18,4.22,lb,wholesale,,true
2002-09-25,4.43,lb,wholesale,,true
2002-10-02,4.31,lb,wholesale,,true
2002-10-09,4.30,lb,wholesale,,true
