date,price_usd,unit,basis,source,reconstructed
2001-04-18,14.00,carton,wholesale,,true
2001-04-25,11.60,carton,wholesale,,true
2001-05-02,9.65,carton,wholesale,,true
2001-05-09,8.45,carton,wholesale,,true
2001-05-16,7.85,carton,wholesale,,true
2001-05-23,7.00,carton,wholesale,,true
2001-05-30,6.63,carton,wholesale,,true
2001-06-06,6.88,carton,wholesale,,true
2001-06-13,7.38,carton,wholesale,,true
2001-06-20,6.95,carton,wholesale,,true
2001-06-27,6.70,carton,wholesale,,true
2001-07-03,6.88,carton,wholesale,,true
2001-07-11,7.15,carton,wholesale,,true
2001-07-18,7.80,carton,wholesale,,true
2001-07-25,8.10,carton,wholesale,,true
2001-08-01,11.50,carton,wholesale,,true
2001-08-06,11.08,carton,wholesale,,true
2001-08-15,7.92,carton,wholesale,,true
2001-08-22,11.75,carton,wholesale,,true
2001-08-29,16.15,carton,wholesale,,true
2001-09-05,13.13,carton,wholesale,,true
2001-09-12,11.15,carton,wholesale,,true
2001-09-19,10.80,carton,wholesale,,true
2001-09-26,8.30,carton,wholesale,,true
2001-10-03,7.50,carton,wholesale,,true
2001-10-10,9.00,carton,wholesale,,true
2001-10-17,10.50,carton,wholesale,,true
2001-10-24,8.15,carton,wholesale,,true
2001-10-31,6.98,carton,wholesale,,true
2001-11-07,6.78,carton,wholesale,,true
2001-11-14,6.00,carton,wholesale,,true
2001-11-21,7.30,carton,wholesale,,true
2001-11-28,7.50,carton,wholesale,,true
2001-12-05,7.70,carton,wholesale,,true
2001-12-12,9.30,carton,wholesale,,true
2001-12-19,13.70,carton,wholesale,,true
2001-12-26,12.58,carton,wholesale,,true
2002-01-02,13.13,carton,wholesale,,true
2002-01-09,13.95,carton,wholesale,,true
2002-01-16,10.65,carton,wholesale,,true
2002-01-23,9.44,carton,wholesale,,true
2002-01-30,14.90,carton,wholesale,,true
2002-02-06,19.30,carton,wholesale,,true
2002-02-13,27.80,carton,wholesale,,true
2002-02-20,40.25,carton,wholesale,,true
2002-02-27,33.60,carton,wholesale,,true
2002-03-06,33.70,carton,wholesale,,true
2002-03-13,29.70,carton,wholesale,,true
2002-03-20,21.35,carton,wholesale,,true
2002-03-27,41.10,carton,wholesale,,true
2002-04-03,13.68,carton,wholesale,,true
2002-04-10,6.78,carton,wholesale,,true
2002-04-17,6.93,carton,wholesale,,true
2002-04-24,6.75,carton,wholesale,,true
2002-05-01,6.75,carton,wholesale,,true
2002-05-08,6.75,carton,wholesale,,true
2002-05-15,6.73,carton,wholesale,,true
2002-05-22,6.75,carton,wholesale,,true
2002-05-29,6.63,carton,wholesale,,true
2002-06-05,6.40,carton,wholesale,,true
2002-06-12,6.40,carton,wholesale,,true
2002-06-19,6.60,carton,wholesale,,true
2002-06-26,13.00,carton,wholesale,,true
2002-07-03,10.35,carton,wholesale,,true
2002-07-10,7.94,carton,wholesale,,true
2002-07-17,7.30,carton,wholesale,,true
2002-07-24,7.25,carton,wholesale,,true
2002-07-31,7.15,carton,wholesale,,true
2002-08-07,9.90,carton,wholesale,,true
2002-08-14,11.85,carton,wholesale,,true
2002-08-21,11.75,carton,wholesale,,true
2002-08-28,9.70,carton,wholesale,,true
2002-09-04,10.50,carton,wholesale,,true
2002-09-11,9.10,carton,wholesale,,true
2002-09-18,8.75,carton,wholesale,,true
2002-09-25,8.30,carton,wholesale,,true
2002-10-02,7.50,carton,wholesale,,true
2002-10-09,7.10,carton,wholesale,,true
2002-10-16,8.50,carton,wholesale,,true
2002-10-23,10.00,carton,wholesale,,true
2002-10-30,8.40,carton,wholesale,,true
2002-11-06,7.45,carton,wholesale,,true
2002-11-13,9.81,carton,wholesale,,true
2002-11-20,9.15,carton,wholesale,,true
2002-11-27,7.75,carton,wholesale,,true
2002-12-04,8.32,carton,wholesale,,true
2002-12-11,7.70,carton,wholesale,,true
2002-12-18,7.35,carton,wholesale,,true
2002-12-24,7.19,carton,wholesale,,true
2002-12-31,7.63,carton,wholesale,,true
2003-01-08,8.00,carton,wholesale,,true
2003-01-15,8.05,carton,wholesale,,true
2003-01-22,7.31,carton,wholesale,,true
2003-01-29,7.00,carton,wholesale,,true
2003-02-05,6.95,carton,wholesale,,true
2003-02-12,7.85,carton,wholesale,,true
2003-02-19,14.94,carton,wholesale,,true
2003-02-26,13.40,carton,wholesale,,true
2003-03-05,15.15,carton,wholesale,,true
2003-03-12,13.25,carton,wholesale,,true
2003-03-19,11.35,carton,wholesale,,true
2003-03-26,9.35,carton,wholesale,,true
2003-04-02,9.85,carton,wholesale,,true
2003-04-09,13.50,carton,wholesale,,true
2003-04-16,16.50,carton,wholesale,,true
2003-04-23,14.20,carton,wholesale,,true
2003-04-30,13.58,carton,wholesale,,true
2003-05-07,18.75,carton,wholesale,,true
2003-05-14,23.00,carton,wholesale,,true
2003-05-21,20.45,carton,wholesale,,true
2003-05-28,27.63,carton,wholesale,,true
2003-06-04,30.80,carton,wholesale,,true
2003-06-11,21.50,carton,wholesale,,true
2003-06-18,26.20,carton,wholesale,,true
2003-06-25,15.25,carton,wholesale,,true
2003-07-02,9.90,carton,wholesale,,true
2003-07-09,8.50,carton,wholesale,,true
2003-07-16,7.55,carton,wholesale,,true
2003-07-23,7.00,carton,wholesale,,true
2003-07-30,6.95,carton,wholesale,,true
2003-08-06,6.90,carton,wholesale,,true
2003-08-13,7.00,carton,wholesale,,true
2003-08-20,15.30,carton,wholesale,,true
2003-08-27,18.90,carton,wholesale,,true
2003-09-03,14.63,carton,wholesale,,true
2003-09-10,16.15,carton,wholesale,,true
2003-09-17,12.70,carton,wholesale,,true
2003-09-24,8.80,carton,wholesale,,true
2003-10-01,9.05,carton,wholesale,,true
2003-10-08,9.85,carton,wholesale,,true
2003-10-15,14.19,carton,wholesale,,true
2003-10-22,10.58,carton,wholesale,,true
2003-10-29,12.65,carton,wholesale,,true
2003-11-05,11.75,carton,wholesale,,true
2003-11-12,15.78,carton,wholesale,,true
2003-11-19,18.05,carton,wholesale,,true
2003-11-26,17.50,carton,wholesale,,true
2003-12-03,16.91,carton,wholesale,,true
2003-12-10,11.20,carton,wholesale,,true
2003-12-17,12.30,carton,wholesale,,true
2003-12-24,9.55,carton,wholesale,,true
2003-12-31,8.50,carton,wholesale,,true
2004-01-07,8.94,carton,wholesale,,true
2004-01-14,10.15,carton,wholesale,,true
2004-01-21,9.00,carton,wholesale,,true
2004-01-28,8.50,carton,wholesale,,true
2004-02-04,9.00,carton,wholesale,,true
2004-02-11,8.75,carton,wholesale,,true
2004-02-18,9.19,carton,wholesale,,true
2004-02-25,9.85,carton,wholesale,,true
2004-03-03,9.20,carton,wholesale,,true
2004-03-10,7.70,carton,wholesale,,true
2004-03-17,8.00,carton,wholesale,,true
2004-03-24,7.75,carton,wholesale,,true
2004-03-31,7.65,carton,wholesale,,true
2004-04-07,8.95,carton,wholesale,,true
2004-04-14,10.35,carton,wholesale,,true
2004-04-21,9.90,carton,wholesale,,true
2004-04-28,9.93,carton,wholesale,,true
2004-05-05,9.65,carton,wholesale,,true
2004-05-12,9.75,carton,wholesale,,true
2004-05-19,9.55,carton,wholesale,,true
2004-05-26,9.65,carton,wholesale,,true
2004-06-02,10.29,carton,wholesale,,true
2004-06-09,11.38,carton,wholesale,,true
2004-06-16,10.85,carton,wholesale,,true
2004-06-23,10.13,carton,wholesale,,true
2004-06-30,10.25,carton,wholesale,,true
2004-07-07,10.50,carton,wholesale,,true
2004-07-14,10.40,carton,wholesale,,true
2004-07-21,9.85,carton,wholesale,,true
2004-07-28,9.98,carton,wholesale,,true
2004-08-04,10.45,carton,wholesale,,true
2004-08-11,11.70,carton,wholesale,,true
2004-08-18,12.93,carton,wholesale,,true
2004-08-25,12.73,carton,wholesale,,true
2004-09-01,11.30,carton,wholesale,,true
2004-09-08,11.19,carton,wholesale,,true
2004-09-15,11.55,carton,wholesale,,true
2004-09-22,11.38,carton,wholesale,,true
2004-09-29,10.78,carton,wholesale,,true
2004-10-06,11.50,carton,wholesale,,true
2004-10-13,12.56,carton,wholesale,,true
2004-10-20,12.03,carton,wholesale,,true
2004-10-27,12.38,carton,wholesale,,true
2004-11-03,11.78,carton,wholesale,,true
2004-11-10,16.59,carton,wholesale,,true
2004-11-17,21.47,carton,wholesale,,true
2004-11-24,17.63,carton,wholesale,,true
2004-12-01,16.60,carton,wholesale,,true
2004-12-08,16.73,carton,wholesale,,true
2004-12-15,14.53,carton,wholesale,,true
2004-12-22,10.30,carton,wholesale,,true
2004-12-29,10.08,carton,wholesale,,true
2005-01-05,9.83,carton,wholesale,,true
2005-01-12,11.70,carton,wholesale,,true
2005-01-19,10.25,carton,wholesale,,true
2005-01-26,8.25,carton,wholesale,,true
2005-02-02,8.00,carton,wholesale,,true
2005-02-09,8.15,carton,wholesale,,true
2005-02-16,10.70,carton,wholesale,,true
2005-02-23,11.31,carton,wholesale,,true
