date,price_usd,unit,basis,source,reconstructed
2024-01-10,7.50,carton,wholesale,,true
2024-01-17,7.50,carton,wholesale,,true
2024-01-24,7.50,carton,wholesale,,true
2024-01-31,7.50,carton,wholesale,,true
2024-02-07,7.50,carton,wholesale,,true
2024-02-14,7.50,carton,wholesale,,true
2024-02-21,7.50,carton,wholesale,,true
2024-02-28,7.50,carton,wholesale,,true
2024-03-06,7.50,carton,wholesale,,true
2024-03-13,7.50,carton,wholesale,,true
2024-03-20,7.50,carton,wholesale,,true
2024-03-27,7.50,carton,wholesale,,true
2024-04-03,7.50,carton,wholesale,,true
2024-04-10,7.50,carton,wholesale,,true
2024-04-17,7.50,carton,wholesale,,true
2024-04-24,7.50,carton,wholesale,,true
2024-05-01,7.50,carton,wholesale,,true
2024-05-08,7.50,carton,wholesale,,true
2024-05-15,7.50,carton,wholesale,,true
2024-05-22,7.50,carton,wholesale,,true
2024-05-29,7.50,carton,wholesale,,true
2024-06-05,7.50,carton,wholesale,,true
2024-06-12,7.50,carton,wholesale,,true
2024-06-18,7.50,carton,wholesale,,true
2024-06-26,7.50,carton,wholesale,,true
2024-07-03,7.50,carton,wholesale,,true
2024-07-10,7.50,carton,wholesale,,true
2024-07-17,7.50,carton,wholesale,,true
2024-07-24,7.50,carton,wholesale,,true
2024-07-31,7.50,carton,wholesale,,true
2024-08-07,7.50,carton,wholesale,,true
2024-08-14,7.50,carton,wholesale,,true
2024-08-21,7.50,carton,wholesale,,true
2024-08-28,7.50,carton,wholesale,,true
2024-09-04,7.50,carton,wholesale,,true
2024-09-11,7.50,carton,wholesale,,true
2024-09-18,7.50,carton,wholesale,,true
2024-09-25,7.50,carton,wholesale,,true
2024-10-02,7.50,carton,wholesale,,true
2024-10-09,7.50,carton,wholesale,,true
2024-10-16,7.50,carton,wholesale,,true
2024-10-23,7.50,carton,wholesale,,true
2024-10-30,7.50,carton,wholesale,,true
2024-11-06,7.50,carton,wholesale,,true
2024-11-13,7.50,carton,wholesale,,true
2024-11-20,7.50,carton,wholesale,,true
