slug,month,median_cents,p25_cents,p75_cents,n
apple,1,3100,2900,3300,21
apple,2,2992,2874,3150,20
apple,3,3000,2889,3210,22
apple,4,2900,2818,3244,22
apple,5,2850,2771,2900,22
apple,6,2900,2850,2953,21
apple,7,2950,2878,2991,19
apple,8,2950,2818,3151,18
apple,9,2934,2888,3299,16
apple,10,3300,3225,3300,18
apple,11,3185,3150,3271,18
apple,12,3263,3120,3300,18
asparagus,1,3680,3088,3825,21
asparagus,2,3450,3178,3815,20
asparagus,3,2668,2295,3629,22
asparagus,4,3373,2909,4276,22
asparagus,5,3505,3219,3765,22
asparagus,6,2950,2708,3259,22
asparagus,7,3438,2918,4356,18
asparagus,8,3945,3655,4345,18
asparagus,9,3775,3444,4075,16
asparagus,10,3680,3046,4411,18
asparagus,11,3185,3002,3598,18
asparagus,12,3660,3058,3860,18
banana,1,2175,2000,2200,21
banana,2,2200,2050,2203,20
banana,3,2200,2050,2200,22
banana,4,2113,2028,2200,22
banana,5,2125,1975,2200,22
banana,6,1975,1950,2200,21
banana,7,1950,1900,2200,19
banana,8,2163,1881,2200,18
banana,9,2163,1875,2200,16
banana,10,2030,1900,2200,18
banana,11,2038,1813,2188,18
banana,12,2125,2000,2175,18
beef-tenderloin,1,1335,1266,1486,21
beef-tenderloin,2,1286,1261,1426,20
beef-tenderloin,3,1300,1232,1390,22
beef-tenderloin,4,1342,1245,1401,22
beef-tenderloin,5,1368,1321,1404,23
beef-tenderloin,6,1372,1259,1409,21
beef-tenderloin,7,1247,1119,1359,18
beef-tenderloin,8,1266,1088,1391,18
beef-tenderloin,9,1311,1191,1412,16
beef-tenderloin,10,1398,1291,1589,19
beef-tenderloin,11,1521,1253,1560,17
beef-tenderloin,12,1564,1493,1657,18
beet,1,2388,1950,2467,21
beet,2,2394,2330,2500,20
beet,3,2388,2145,2466,22
beet,4,2250,2168,2387,22
beet,5,2235,2015,2375,22
beet,6,2294,2100,2356,22
beet,7,2280,2015,2603,18
beet,8,1900,1863,2170,18
beet,9,1900,1881,2035,16
beet,10,2280,2085,2651,18
beet,11,2310,2263,2604,18
beet,12,2263,1950,2437,18
bell-pepper,1,2500,1900,3156,21
bell-pepper,2,2325,2000,3350,20
bell-pepper,3,2550,2405,3850,22
bell-pepper,4,2620,2336,2951,22
bell-pepper,5,2255,2170,2458,22
bell-pepper,6,2550,2250,2638,22
bell-pepper,7,3000,2453,3683,18
bell-pepper,8,3040,2510,3665,18
bell-pepper,9,2975,2695,3600,16
bell-pepper,10,2495,1888,3030,18
bell-pepper,11,2994,2256,3469,18
bell-pepper,12,2975,2795,3719,18
blueberry,1,2838,2238,3325,21
blueberry,2,2230,2029,2760,20
blueberry,3,2315,1703,3343,22
blueberry,4,3640,2805,4245,22
blueberry,5,2470,2024,2698,22
blueberry,6,2275,1800,2720,21
blueberry,7,2160,1775,2677,19
blueberry,8,1940,1725,2123,18
blueberry,9,2575,2331,3290,16
blueberry,10,4534,2928,5132,18
blueberry,11,2595,2022,3074,18
blueberry,12,2305,1916,2938,18
butternut-squash,1,2275,2000,2500,21
butternut-squash,2,2495,2314,2700,20
butternut-squash,3,2425,2275,2488,22
butternut-squash,4,2473,2369,2579,22
butternut-squash,5,2500,2425,3160,22
butternut-squash,6,2725,2400,3150,22
butternut-squash,7,2825,2281,3213,18
butternut-squash,8,2570,2236,2950,18
butternut-squash,9,2300,2219,2455,16
butternut-squash,10,2500,2365,5118,18
butternut-squash,11,2328,2013,2379,18
butternut-squash,12,2350,1950,2350,18
button-mushroom,1,2750,2725,2850,21
button-mushroom,2,2750,2725,2850,20
button-mushroom,3,2750,2725,2850,22
button-mushroom,4,2750,2728,2850,22
button-mushroom,5,2750,2738,2750,22
button-mushroom,6,2750,2738,2750,22
button-mushroom,7,2739,2672,2825,18
button-mushroom,8,2732,2725,2825,18
button-mushroom,9,2775,2706,2831,16
button-mushroom,10,2775,2669,2844,18
button-mushroom,11,2750,2725,2833,18
button-mushroom,12,2850,2750,2850,18
cabbage,1,2570,2375,3330,21
cabbage,2,2600,2259,3074,20
cabbage,3,2605,2350,2753,22
cabbage,4,2408,2279,2548,22
cabbage,5,2983,2325,3100,22
cabbage,6,3100,2918,3494,22
cabbage,7,3182,2324,3308,18
cabbage,8,2523,2150,3085,18
cabbage,9,2580,2291,2729,16
cabbage,10,2708,2444,2888,18
cabbage,11,2798,2315,3100,18
cabbage,12,3007,2455,3480,18
cantaloupe,1,2163,1750,2325,21
cantaloupe,2,2073,1811,2408,20
cantaloupe,3,1865,1693,2038,22
cantaloupe,4,1990,1788,2175,22
cantaloupe,5,2095,1883,2329,22
cantaloupe,6,2320,1960,2531,21
cantaloupe,7,2000,1829,2288,19
cantaloupe,8,1800,1683,1883,18
cantaloupe,9,2013,1788,2160,16
cantaloupe,10,2143,1910,2398,18
cantaloupe,11,2434,2141,2683,18
cantaloupe,12,2325,2018,2645,18
cauliflower,1,2850,2513,3290,21
cauliflower,2,3150,2938,3325,20
cauliflower,3,2900,2600,3251,22
cauliflower,4,2685,2485,3145,22
cauliflower,5,2885,2150,3288,22
cauliflower,6,2594,2150,2720,22
cauliflower,7,2628,2550,2893,18
cauliflower,8,2510,2400,2978,18
cauliflower,9,2400,2398,2988,16
cauliflower,10,2600,2583,3350,18
cauliflower,11,3393,2600,3686,18
cauliflower,12,3450,2510,3854,18
celery,1,2550,1900,4188,21
celery,2,2363,1700,3925,20
celery,3,2400,2173,2568,22
celery,4,2035,1770,2366,22
celery,5,2852,2296,3735,22
celery,6,2288,2120,2615,22
celery,7,1997,1816,2169,18
celery,8,1750,1511,1974,18
celery,9,1735,1700,1950,16
celery,10,1745,1700,2100,18
celery,11,2583,2000,3293,18
celery,12,3590,2843,5440,18
cherry-tomato,1,2361,2100,2500,21
cherry-tomato,2,2194,2100,2451,20
cherry-tomato,3,2325,2150,2515,22
cherry-tomato,4,2150,1850,2810,22
cherry-tomato,5,1900,1600,2300,22
cherry-tomato,6,1913,1794,2250,22
cherry-tomato,7,1865,1538,1900,18
cherry-tomato,8,1820,1800,2043,18
cherry-tomato,9,1825,1725,2043,16
cherry-tomato,10,1800,1575,2469,18
cherry-tomato,11,2500,2074,2888,18
cherry-tomato,12,2400,1819,2798,18
collard-greens,1,2775,2250,2975,21
collard-greens,2,2250,2225,2775,20
collard-greens,3,2750,2300,2819,22
collard-greens,4,2750,2250,2819,22
collard-greens,5,2585,2213,2838,22
collard-greens,6,2310,2213,2955,22
collard-greens,7,2470,2200,2894,18
collard-greens,8,2800,2775,2875,18
collard-greens,9,2788,2463,2819,16
collard-greens,10,2775,2338,2800,18
collard-greens,11,2775,2739,2814,18
collard-greens,12,2775,2372,2975,18
cucumber,1,2100,1769,2640,21
cucumber,2,2493,2198,2626,20
cucumber,3,2250,2035,2450,22
cucumber,4,2143,1930,2340,22
cucumber,5,1700,1509,1995,22
