date,price_usd,unit,basis,source,reconstructed
2026-06-03,37.00,carton,wholesale,usda-ams-boston,false
2026-06-04,37.00,carton,wholesale,usda-ams-boston,false
2026-06-05,37.00,carton,wholesale,usda-ams-boston,false
2026-06-08,37.00,carton,wholesale,usda-ams-boston,false
2026-06-09,37.00,carton,wholesale,usda-ams-boston,false
2026-06-10,37.00,carton,wholesale,usda-ams-boston,false
2026-06-11,37.00,carton,wholesale,usda-ams-boston,false
2026-06-12,37.00,carton,wholesale,usda-ams-boston,false
2026-06-15,37.00,carton,wholesale,usda-ams-boston,false
2026-06-16,37.00,carton,wholesale,usda-ams-boston,false
2026-06-17,37.00,carton,wholesale,usda-ams-boston,false
2026-06-18,37.00,carton,wholesale,usda-ams-boston,false
2026-06-22,37.00,carton,wholesale,usda-ams-boston,false
2026-06-23,37.00,carton,wholesale,usda-ams-boston,false
2026-06-24,37.00,carton,wholesale,usda-ams-boston,false
2026-06-25,37.00,carton,wholesale,usda-ams-boston,false
2026-06-26,37.00,carton,wholesale,usda-ams-boston,false
2026-06-29,37.00,carton,wholesale,usda-ams-boston,false
2026-06-30,37.00,carton,wholesale,usda-ams-boston,false
2026-07-01,37.00,carton,wholesale,usda-ams-boston,false
2026-07-02,37.00,carton,wholesale,usda-ams-boston,false
2026-07-06,37.00,carton,wholesale,usda-ams-boston,false
2026-07-07,37.00,carton,wholesale,usda-ams-boston,false
2026-07-08,37.00,carton,wholesale,usda-ams-boston,false
2026-07-09,37.00,carton,wholesale,usda-ams-boston,false
2026-07-10,32.00,carton,wholesale,usda-ams-boston,false
