date,price_usd,unit,basis,source,reconstructed
2001-04-18,0.67,lb,wholesale,,true
2001-04-25,0.29,lb,wholesale,,true
2001-05-02,0.14,lb,wholesale,,true
2001-05-09,0.29,lb,wholesale,,true
2001-05-16,0.40,lb,wholesale,,true
2001-05-23,0.28,lb,wholesale,,true
2001-05-30,0.17,lb,wholesale,,true
2001-06-06,0.14,lb,wholesale,,true
2001-06-13,0.15,lb,wholesale,,true
2001-07-03,0.34,lb,wholesale,,true
2001-07-11,0.28,lb,wholesale,,true
2001-07-18,0.13,lb,wholesale,,true
2001-07-25,0.14,lb,wholesale,,true
2001-08-01,0.14,lb,wholesale,,true
2001-08-08,0.13,lb,wholesale,,true
2001-08-15,0.40,lb,wholesale,,true
2001-08-22,0.95,lb,wholesale,,true
2001-08-29,1.35,lb,wholesale,,true
2001-09-05,1.34,lb,wholesale,,true
2001-09-12,1.35,lb,wholesale,,true
2001-09-19,1.41,lb,wholesale,,true
2001-09-26,1.38,lb,wholesale,,true
2001-10-03,1.31,lb,wholesale,,true
2001-10-10,1.25,lb,wholesale,,true
2001-10-17,1.22,lb,wholesale,,true
2001-10-24,1.16,lb,wholesale,,true
2001-10-31,1.14,lb,wholesale,,true
2001-11-07,1.11,lb,wholesale,,true
2001-11-14,1.04,lb,wholesale,,true
2001-11-21,1.04,lb,wholesale,,true
2001-11-28,1.04,lb,wholesale,,true
2001-12-05,1.03,lb,wholesale,,true
2001-12-12,1.07,lb,wholesale,,true
2001-12-19,1.10,lb,wholesale,,true
2001-12-26,1.13,lb,wholesale,,true
2002-01-02,1.16,lb,wholesale,,true
2002-01-09,1.17,lb,wholesale,,true
2002-01-16,1.19,lb,wholesale,,true
2002-01-23,1.19,lb,wholesale,,true
2002-01-30,1.20,lb,wholesale,,true
2002-02-06,1.23,lb,wholesale,,true
2002-02-13,1.24,lb,wholesale,,true
2002-02-20,1.21,lb,wholesale,,true
2002-02-27,1.25,lb,wholesale,,true
2002-03-06,1.27,lb,wholesale,,true
2002-03-13,1.24,lb,wholesale,,true
2002-03-20,1.27,lb,wholesale,,true
2002-03-27,1.26,lb,wholesale,,true
2002-04-03,1.24,lb,wholesale,,true
2002-04-10,1.27,lb,wholesale,,true
2002-04-17,1.27,lb,wholesale,,true
2002-04-24,1.34,lb,wholesale,,true
2002-05-01,1.37,lb,wholesale,,true
2002-05-08,1.34,lb,wholesale,,true
2002-05-15,1.39,lb,wholesale,,true
2002-05-22,1.49,lb,wholesale,,true
2002-05-29,1.41,lb,wholesale,,true
2002-06-05,1.52,lb,wholesale,,true
2002-06-12,1.47,lb,wholesale,,true
2002-06-19,1.44,lb,wholesale,,true
2002-06-26,1.44,lb,wholesale,,true
2002-07-03,1.43,lb,wholesale,,true
2002-07-10,1.42,lb,wholesale,,true
2002-07-17,1.42,lb,wholesale,,true
2002-07-24,1.45,lb,wholesale,,true
2002-07-31,1.37,lb,wholesale,,true
2002-08-07,1.43,lb,wholesale,,true
2002-08-14,1.45,lb,wholesale,,true
2002-08-21,1.41,lb,wholesale,,true
2002-08-28,1.43,lb,wholesale,,true
2002-09-04,1.51,lb,wholesale,,true
2002-09-11,1.49,lb,wholesale,,true
2002-09-18,1.52,lb,wholesale,,true
2002-09-25,1.51,lb,wholesale,,true
2002-10-02,1.52,lb,wholesale,,true
2002-10-09,1.45,lb,wholesale,,true
2002-10-16,1.45,lb,wholesale,,true
2002-10-23,1.47,lb,wholesale,,true
2002-10-30,1.46,lb,wholesale,,true
2002-11-06,1.48,lb,wholesale,,true
2002-11-13,1.50,lb,wholesale,,true
2002-11-20,1.56,lb,wholesale,,true
2002-11-27,1.61,lb,wholesale,,true
2002-12-04,1.65,lb,wholesale,,true
2002-12-11,1.66,lb,wholesale,,true
2002-12-18,1.69,lb,wholesale,,true
2002-12-24,1.71,lb,wholesale,,true
2002-12-31,1.75,lb,wholesale,,true
