date,price_usd,unit,basis,source
2024-03-01,81.42,lb,wholesale,bls
2024-04-01,83.62,lb,wholesale,bls
2024-05-01,82.38,lb,wholesale,bls
2024-06-01,83.22,lb,wholesale,bls
2024-07-01,85.20,lb,wholesale,bls
2024-08-01,91.12,lb,wholesale,bls
2024-09-01,99.84,lb,wholesale,bls
2024-10-01,105.21,lb,wholesale,bls
2024-11-01,106.67,lb,wholesale,bls
2024-12-01,98.61,lb,wholesale,bls
2025-01-01,102.72,lb,wholesale,bls
2025-02-01,104.24,lb,wholesale,bls
2025-03-01,109.44,lb,wholesale,bls
2025-04-01,120.04,lb,wholesale,bls
2025-05-01,124.43,lb,wholesale,bls
2025-06-01,118.94,lb,wholesale,bls
2025-07-01,122.54,lb,wholesale,bls
2025-08-01,127.08,lb,wholesale,bls
2025-09-01,130.26,lb,wholesale,bls
2025-10-01,135.02,lb,wholesale,bls
2025-11-01,122.69,lb,wholesale,bls
2025-12-01,115.93,lb,wholesale,bls
2026-01-01,115.93,lb,wholesale,bls
2026-02-01,115.93,lb,wholesale,bls
2026-03-01,115.93,lb,wholesale,bls
2026-04-01,115.93,lb,wholesale,bls
