date,price_usd,unit,basis,source,reconstructed
2001-04-25,19.00,carton,wholesale,,true
2001-05-02,19.00,carton,wholesale,,true
2001-05-09,17.50,carton,wholesale,,true
2001-05-16,12.30,carton,wholesale,,true
2001-05-23,9.90,carton,wholesale,,true
2001-05-30,9.00,carton,wholesale,,true
2001-06-06,9.00,carton,wholesale,,true
2001-06-13,11.55,carton,wholesale,,true
2001-06-20,20.05,carton,wholesale,,true
2001-06-27,23.30,carton,wholesale,,true
2001-07-03,23.50,carton,wholesale,,true
2001-07-11,21.85,carton,wholesale,,true
2001-07-18,18.40,carton,wholesale,,true
2001-07-25,14.50,carton,wholesale,,true
2001-08-01,14.00,carton,wholesale,,true
2001-08-08,10.25,carton,wholesale,,true
2001-08-15,8.90,carton,wholesale,,true
2001-08-22,8.50,carton,wholesale,,true
2001-08-29,8.50,carton,wholesale,,true
2001-09-05,9.25,carton,wholesale,,true
2001-09-12,17.50,carton,wholesale,,true
2001-09-19,19.15,carton,wholesale,,true
2001-09-26,20.25,carton,wholesale,,true
2001-10-03,19.35,carton,wholesale,,true
2001-10-10,17.81,carton,wholesale,,true
2001-10-17,16.50,carton,wholesale,,true
2001-10-24,17.70,carton,wholesale,,true
2001-10-31,19.10,carton,wholesale,,true
2001-11-07,19.20,carton,wholesale,,true
2001-11-14,17.88,carton,wholesale,,true
2001-11-21,19.00,carton,wholesale,,true
2001-11-28,19.00,carton,wholesale,,true
2001-12-05,19.10,carton,wholesale,,true
2001-12-12,12.60,carton,wholesale,,true
2001-12-19,9.90,carton,wholesale,,true
2001-12-26,8.67,carton,wholesale,,true
2002-01-02,7.88,carton,wholesale,,true
2002-01-09,7.50,carton,wholesale,,true
2002-01-16,11.40,carton,wholesale,,true
2002-01-23,17.00,carton,wholesale,,true
2002-01-30,13.50,carton,wholesale,,true
2002-02-06,10.05,carton,wholesale,,true
2002-02-13,9.00,carton,wholesale,,true
2002-02-20,8.90,carton,wholesale,,true
2002-02-27,10.10,carton,wholesale,,true
2002-03-06,10.25,carton,wholesale,,true
2002-03-13,8.85,carton,wholesale,,true
