date,price_usd,unit,basis,source,reconstructed
2001-04-18,12.25,carton,wholesale,,true
2001-04-25,11.85,carton,wholesale,,true
2001-05-02,11.50,carton,wholesale,,true
2001-05-09,11.50,carton,wholesale,,true
2001-05-16,11.50,carton,wholesale,,true
2001-05-23,11.50,carton,wholesale,,true
2001-05-30,11.50,carton,wholesale,,true
2001-06-06,11.50,carton,wholesale,,true
2001-06-13,11.50,carton,wholesale,,true
2001-06-20,11.50,carton,wholesale,,true
2001-06-27,11.50,carton,wholesale,,true
2001-07-03,11.50,carton,wholesale,,true
2001-07-11,10.30,carton,wholesale,,true
2001-07-18,10.00,carton,wholesale,,true
2001-07-25,9.45,carton,wholesale,,true
2001-08-01,8.60,carton,wholesale,,true
2001-08-06,8.00,carton,wholesale,,true
2001-08-15,8.00,carton,wholesale,,true
2001-08-22,12.50,carton,wholesale,,true
2001-08-29,12.50,carton,wholesale,,true
2001-09-05,12.50,carton,wholesale,,true
2001-09-12,12.50,carton,wholesale,,true
2001-09-19,12.50,carton,wholesale,,true
2001-09-26,12.50,carton,wholesale,,true
2001-10-03,12.50,carton,wholesale,,true
2001-10-10,12.50,carton,wholesale,,true
2001-10-17,12.50,carton,wholesale,,true
2001-10-24,12.50,carton,wholesale,,true
2001-10-31,12.50,carton,wholesale,,true
2001-11-07,12.50,carton,wholesale,,true
2001-11-14,12.50,carton,wholesale,,true
2001-11-21,12.50,carton,wholesale,,true
2001-11-28,12.50,carton,wholesale,,true
2001-12-05,12.50,carton,wholesale,,true
2001-12-12,12.50,carton,wholesale,,true
2001-12-19,12.60,carton,wholesale,,true
2001-12-26,12.75,carton,wholesale,,true
2002-01-02,15.97,carton,wholesale,,true
2002-01-09,14.18,carton,wholesale,,true
2002-01-16,11.95,carton,wholesale,,true
2002-01-23,10.54,carton,wholesale,,true
2002-01-30,12.53,carton,wholesale,,true
2002-02-06,15.03,carton,wholesale,,true
2002-02-13,15.28,carton,wholesale,,true
2002-02-20,15.41,carton,wholesale,,true
2002-02-27,11.95,carton,wholesale,,true
2002-03-06,9.93,carton,wholesale,,true
2002-03-13,9.83,carton,wholesale,,true
2002-03-20,9.98,carton,wholesale,,true
2002-03-27,10.83,carton,wholesale,,true
2002-04-03,10.28,carton,wholesale,,true
2002-04-10,10.13,carton,wholesale,,true
2002-04-17,10.03,carton,wholesale,,true
2002-04-24,9.78,carton,wholesale,,true
2002-05-01,9.63,carton,wholesale,,true
2002-05-08,10.03,carton,wholesale,,true
2002-05-15,10.38,carton,wholesale,,true
2002-05-22,10.25,carton,wholesale,,true
2002-05-29,9.82,carton,wholesale,,true
2002-06-05,9.83,carton,wholesale,,true
2002-06-12,9.75,carton,wholesale,,true
2002-06-19,9.75,carton,wholesale,,true
2002-06-26,9.85,carton,wholesale,,true
2002-07-03,9.95,carton,wholesale,,true
2002-07-10,9.94,carton,wholesale,,true
2002-07-17,10.50,carton,wholesale,,true
2002-07-24,11.20,carton,wholesale,,true
2002-07-31,12.00,carton,wholesale,,true
2002-08-07,11.05,carton,wholesale,,true
2002-08-14,10.73,carton,wholesale,,true
2002-08-21,10.83,carton,wholesale,,true
2002-08-28,10.68,carton,wholesale,,true
2002-09-04,12.38,carton,wholesale,,true
2002-09-11,13.63,carton,wholesale,,true
2002-09-18,10.68,carton,wholesale,,true
2002-09-25,10.50,carton,wholesale,,true
2002-10-02,10.23,carton,wholesale,,true
2002-10-09,9.85,carton,wholesale,,true
2002-10-16,10.13,carton,wholesale,,true
2002-10-23,10.45,carton,wholesale,,true
