date,price_usd,unit,basis,source
2026-05-07,21.25,carton,wholesale,usda-ams-atlanta
2026-05-08,21.25,carton,wholesale,usda-ams-atlanta
2026-05-11,21.25,carton,wholesale,usda-ams-atlanta
2026-05-12,21.25,carton,wholesale,usda-ams-atlanta
2026-05-13,21.25,carton,wholesale,usda-ams-atlanta
2026-05-14,21.25,carton,wholesale,usda-ams-atlanta
2026-05-15,21.25,carton,wholesale,usda-ams-atlanta
2026-05-18,21.25,carton,wholesale,usda-ams-atlanta
2026-05-19,21.25,carton,wholesale,usda-ams-atlanta
2026-05-20,21.25,carton,wholesale,usda-ams-atlanta
2026-05-21,21.25,carton,wholesale,usda-ams-atlanta
2026-05-22,21.25,carton,wholesale,usda-ams-atlanta
2026-05-26,21.25,carton,wholesale,usda-ams-atlanta
2026-05-27,21.25,carton,wholesale,usda-ams-atlanta
2026-05-28,21.25,carton,wholesale,usda-ams-atlanta
2026-05-29,21.25,carton,wholesale,usda-ams-atlanta
2026-06-01,21.25,carton,wholesale,usda-ams-atlanta
2026-06-02,21.25,carton,wholesale,usda-ams-atlanta
2026-06-03,21.25,carton,wholesale,usda-ams-atlanta
2026-06-04,21.25,carton,wholesale,usda-ams-atlanta
2026-06-05,21.25,carton,wholesale,usda-ams-atlanta
2026-06-08,21.25,carton,wholesale,usda-ams-atlanta
2026-06-09,21.25,carton,wholesale,usda-ams-atlanta
2026-06-10,21.25,carton,wholesale,usda-ams-atlanta
2026-06-11,21.25,carton,wholesale,usda-ams-atlanta
2026-06-12,21.25,carton,wholesale,usda-ams-atlanta
