date,price_usd,unit,basis,source,reconstructed
2024-01-10,9.75,carton,wholesale,,true
2024-01-17,9.75,carton,wholesale,,true
2024-01-24,9.75,carton,wholesale,,true
2024-01-31,9.75,carton,wholesale,,true
2024-02-07,9.75,carton,wholesale,,true
2024-02-14,9.75,carton,wholesale,,true
2024-02-21,9.75,carton,wholesale,,true
2024-02-28,9.75,carton,wholesale,,true
2024-03-06,9.75,carton,wholesale,,true
2024-03-13,9.75,carton,wholesale,,true
2024-03-20,9.75,carton,wholesale,,true
2024-03-27,9.75,carton,wholesale,,true
2024-04-03,9.75,carton,wholesale,,true
2024-04-10,9.75,carton,wholesale,,true
2024-04-17,9.75,carton,wholesale,,true
2024-04-24,9.75,carton,wholesale,,true
2024-05-01,9.75,carton,wholesale,,true
2024-05-08,9.75,carton,wholesale,,true
2024-05-15,9.75,carton,wholesale,,true
2024-05-22,9.75,carton,wholesale,,true
2024-05-29,9.75,carton,wholesale,,true
2024-06-05,9.75,carton,wholesale,,true
2024-06-12,9.75,carton,wholesale,,true
2024-06-18,9.75,carton,wholesale,,true
2024-06-26,9.75,carton,wholesale,,true
2024-07-03,9.75,carton,wholesale,,true
2024-07-10,9.75,carton,wholesale,,true
2024-07-17,9.75,carton,wholesale,,true
2024-07-24,9.75,carton,wholesale,,true
2024-07-31,9.75,carton,wholesale,,true
2024-08-07,9.75,carton,wholesale,,true
2024-08-14,9.75,carton,wholesale,,true
2024-08-21,9.75,carton,wholesale,,true
2024-08-28,9.75,carton,wholesale,,true
2024-09-04,9.75,carton,wholesale,,true
2024-09-11,9.75,carton,wholesale,,true
2024-09-18,9.75,carton,wholesale,,true
2024-09-25,9.75,carton,wholesale,,true
2024-10-02,9.75,carton,wholesale,,true
2024-10-09,9.75,carton,wholesale,,true
2024-10-16,9.75,carton,wholesale,,true
2024-10-23,9.75,carton,wholesale,,true
2024-10-30,9.75,carton,wholesale,,true
2024-11-06,9.75,carton,wholesale,,true
2024-11-13,9.75,carton,wholesale,,true
2024-11-20,9.75,carton,wholesale,,true
2024-11-27,9.75,carton,wholesale,,true
2024-12-04,9.75,carton,wholesale,,true
2024-12-11,9.75,carton,wholesale,,true
2024-12-18,9.75,carton,wholesale,,true
2024-12-23,9.75,carton,wholesale,,true
2024-12-31,9.75,carton,wholesale,,true
2025-01-08,9.75,carton,wholesale,,true
2025-01-15,9.75,carton,wholesale,,true
2025-01-22,9.88,carton,wholesale,,true
2025-01-29,10.25,carton,wholesale,,true
2025-02-05,10.25,carton,wholesale,,true
2025-02-12,10.25,carton,wholesale,,true
2025-02-19,10.25,carton,wholesale,,true
2025-02-26,10.25,carton,wholesale,,true
2025-03-05,10.25,carton,wholesale,,true
2025-03-12,10.25,carton,wholesale,,true
2025-03-19,10.35,carton,wholesale,,true
2025-03-26,10.75,carton,wholesale,,true
2025-04-02,10.75,carton,wholesale,,true
2025-04-09,10.75,carton,wholesale,,true
2025-04-16,10.75,carton,wholesale,,true
2025-04-23,10.75,carton,wholesale,,true
2025-04-30,10.75,carton,wholesale,,true
2025-05-07,10.75,carton,wholesale,,true
2025-05-14,10.75,carton,wholesale,,true
2025-05-21,10.75,carton,wholesale,,true
2025-05-28,10.75,carton,wholesale,,true
2025-06-04,10.75,carton,wholesale,,true
2025-06-11,10.75,carton,wholesale,,true
2025-06-18,10.75,carton,wholesale,,true
2025-06-25,10.75,carton,wholesale,,true
2025-07-02,10.75,carton,wholesale,,true
2025-07-09,10.75,carton,wholesale,,true
2025-07-16,10.75,carton,wholesale,,true
2025-07-23,10.75,carton,wholesale,,true
2025-07-30,10.75,carton,wholesale,,true
2025-08-06,10.75,carton,wholesale,,true
2025-08-13,10.75,carton,wholesale,,true
2025-08-20,10.75,carton,wholesale,,true
2025-08-27,10.75,carton,wholesale,,true
2025-09-03,10.75,carton,wholesale,,true
2025-09-10,10.75,carton,wholesale,,true
2025-09-17,10.75,carton,wholesale,,true
2025-09-24,10.75,carton,wholesale,,true
2025-10-01,10.75,carton,wholesale,,true
2025-10-08,10.75,carton,wholesale,,true
2025-10-15,10.75,carton,wholesale,,true
2025-10-22,10.75,carton,wholesale,,true
2025-10-29,10.75,carton,wholesale,,true
2025-11-05,10.75,carton,wholesale,,true
2025-11-12,10.75,carton,wholesale,,true
2025-11-19,10.75,carton,wholesale,,true
2025-11-26,10.75,carton,wholesale,,true
2025-12-03,10.75,carton,wholesale,,true
2025-12-10,10.75,carton,wholesale,,true
2025-12-17,10.75,carton,wholesale,,true
2025-12-23,10.75,carton,wholesale,,true
2025-12-31,10.75,carton,wholesale,,true
2026-01-07,10.75,carton,wholesale,,true
2026-01-14,10.75,carton,wholesale,,true
2026-01-21,10.75,carton,wholesale,,true
2026-01-28,10.75,carton,wholesale,,true
2026-02-04,10.75,carton,wholesale,,true
2026-02-11,10.75,carton,wholesale,,true
2026-02-18,10.75,carton,wholesale,,true
2026-02-25,10.75,carton,wholesale,,true
2026-03-04,10.75,carton,wholesale,,true
2026-03-11,10.75,carton,wholesale,,true
2026-03-18,10.75,carton,wholesale,,true
2026-03-25,10.75,carton,wholesale,,true
2026-04-01,10.75,carton,wholesale,,true
2026-04-08,10.75,carton,wholesale,,true
2026-04-15,10.75,carton,wholesale,,true
2026-04-22,10.75,carton,wholesale,,true
2026-04-29,10.75,carton,wholesale,,true
2026-05-06,10.75,carton,wholesale,,true
2026-05-13,12.50,carton,wholesale,usda-ams-atlanta,false
2026-05-14,12.50,carton,wholesale,usda-ams-atlanta,false
2026-05-15,12.50,carton,wholesale,usda-ams-atlanta,false
2026-05-18,12.50,carton,wholesale,usda-ams-atlanta,false
2026-05-19,12.50,carton,wholesale,usda-ams-atlanta,false
2026-05-20,12.50,carton,wholesale,usda-ams-atlanta,false
2026-05-21,12.50,carton,wholesale,usda-ams-atlanta,false
2026-05-22,12.50,carton,wholesale,usda-ams-atlanta,false
2026-05-26,12.50,carton,wholesale,usda-ams-atlanta,false
2026-05-27,12.50,carton,wholesale,usda-ams-atlanta,false
2026-05-28,12.50,carton,wholesale,usda-ams-atlanta,false
2026-05-29,12.50,carton,wholesale,usda-ams-atlanta,false
2026-06-01,12.50,carton,wholesale,usda-ams-atlanta,false
2026-06-02,12.50,carton,wholesale,usda-ams-atlanta,false
2026-06-03,12.50,carton,wholesale,usda-ams-atlanta,false
2026-06-04,12.50,carton,wholesale,usda-ams-atlanta,false
2026-06-05,12.50,carton,wholesale,usda-ams-atlanta,false
2026-06-08,12.50,carton,wholesale,usda-ams-atlanta,false
2026-06-09,12.50,carton,wholesale,usda-ams-atlanta,false
2026-06-10,12.50,carton,wholesale,usda-ams-atlanta,false
2026-06-11,12.50,carton,wholesale,usda-ams-atlanta,false
2026-06-12,12.50,carton,wholesale,usda-ams-atlanta,false
2026-06-15,12.50,carton,wholesale,usda-ams-atlanta,false
2026-06-16,12.50,carton,wholesale,usda-ams-atlanta,false
2026-06-17,12.50,carton,wholesale,usda-ams-atlanta,false
2026-06-18,12.50,carton,wholesale,usda-ams-atlanta,false
