date,price_usd,unit,basis,source,reconstructed
2023-06-14,20.20,carton,wholesale,,true
2023-06-21,20.00,carton,wholesale,,true
2023-06-28,20.30,carton,wholesale,,true
2023-07-05,20.13,carton,wholesale,,true
2023-07-12,20.30,carton,wholesale,,true
2023-07-19,20.95,carton,wholesale,,true
2023-07-26,21.75,carton,wholesale,,true
2023-08-02,21.00,carton,wholesale,,true
2023-08-09,18.60,carton,wholesale,,true
2023-08-16,17.50,carton,wholesale,,true
2023-08-23,19.60,carton,wholesale,,true
2023-08-30,20.40,carton,wholesale,,true
2023-09-06,20.00,carton,wholesale,,true
2023-09-13,20.00,carton,wholesale,,true
2023-09-20,20.00,carton,wholesale,,true
2023-09-27,19.70,carton,wholesale,,true
2023-10-04,19.50,carton,wholesale,,true
2023-10-11,18.88,carton,wholesale,,true
2023-10-18,18.50,carton,wholesale,,true
2023-10-25,18.40,carton,wholesale,,true
2023-11-01,19.00,carton,wholesale,,true
2023-11-08,19.00,carton,wholesale,,true
2023-11-15,19.38,carton,wholesale,,true
2023-11-22,21.30,carton,wholesale,,true
2023-11-29,21.00,carton,wholesale,,true
2023-12-06,21.00,carton,wholesale,,true
2023-12-13,21.90,carton,wholesale,,true
2023-12-20,27.60,carton,wholesale,,true
2023-12-27,28.75,carton,wholesale,,true
2024-01-03,29.88,carton,wholesale,,true
2024-01-10,30.40,carton,wholesale,,true
2024-01-17,30.00,carton,wholesale,,true
2024-01-24,32.75,carton,wholesale,,true
2024-01-31,32.25,carton,wholesale,,true
2024-02-07,25.10,carton,wholesale,,true
2024-02-14,25.10,carton,wholesale,,true
2024-02-21,26.88,carton,wholesale,,true
2024-02-28,25.90,carton,wholesale,,true
2024-03-06,25.00,carton,wholesale,,true
2024-03-13,23.45,carton,wholesale,,true
2024-03-20,20.90,carton,wholesale,,true
2024-03-27,20.80,carton,wholesale,,true
2024-04-03,24.90,carton,wholesale,,true
2024-04-10,25.25,carton,wholesale,,true
2024-04-17,25.10,carton,wholesale,,true
2024-04-24,24.10,carton,wholesale,,true
2024-05-01,23.80,carton,wholesale,,true
2024-05-08,24.50,carton,wholesale,,true
2024-05-15,21.55,carton,wholesale,,true
2024-05-22,21.10,carton,wholesale,,true
2024-05-29,20.25,carton,wholesale,,true
2024-06-05,20.10,carton,wholesale,,true
2024-06-12,18.70,carton,wholesale,,true
2024-06-18,19.00,carton,wholesale,,true
2024-06-26,18.50,carton,wholesale,,true
2024-07-03,21.15,carton,wholesale,,true
2024-07-10,22.88,carton,wholesale,,true
2024-07-17,22.00,carton,wholesale,,true
2024-07-24,22.50,carton,wholesale,,true
2024-07-31,24.10,carton,wholesale,,true
2024-08-07,25.00,carton,wholesale,,true
2024-08-14,27.90,carton,wholesale,,true
2024-08-21,28.20,carton,wholesale,,true
2024-08-28,24.95,carton,wholesale,,true
2024-09-04,22.25,carton,wholesale,,true
2024-09-11,22.25,carton,wholesale,,true
2024-09-18,21.70,carton,wholesale,,true
2024-09-25,20.90,carton,wholesale,,true
2024-10-02,20.50,carton,wholesale,,true
2024-10-09,22.10,carton,wholesale,,true
2024-10-16,27.00,carton,wholesale,,true
2024-10-23,31.10,carton,wholesale,,true
2024-10-30,31.10,carton,wholesale,,true
2024-11-06,30.00,carton,wholesale,,true
2024-11-13,29.00,carton,wholesale,,true
2024-11-20,29.90,carton,wholesale,,true
2024-11-27,31.60,carton,wholesale,,true
2024-12-04,32.00,carton,wholesale,,true
2024-12-11,32.00,carton,wholesale,,true
2024-12-18,32.60,carton,wholesale,,true
2024-12-20,30.50,carton,wholesale,,true
2025-01-08,24.50,carton,wholesale,,true
2025-01-15,20.00,carton,wholesale,,true
2025-01-22,17.88,carton,wholesale,,true
2025-01-29,15.80,carton,wholesale,,true
2025-02-05,14.50,carton,wholesale,,true
2025-02-12,13.90,carton,wholesale,,true
2025-02-19,13.50,carton,wholesale,,true
2025-02-26,13.95,carton,wholesale,,true
2025-03-05,14.10,carton,wholesale,,true
2025-03-12,14.70,carton,wholesale,,true
2025-03-19,16.20,carton,wholesale,,true
2025-03-26,19.40,carton,wholesale,,true
2025-04-02,21.70,carton,wholesale,,true
2025-04-09,18.90,carton,wholesale,,true
2025-04-16,15.80,carton,wholesale,,true
2025-04-23,15.00,carton,wholesale,,true
2025-04-30,15.00,carton,wholesale,,true
2025-05-07,16.00,carton,wholesale,,true
2025-05-14,16.50,carton,wholesale,,true
2025-05-21,19.20,carton,wholesale,,true
2025-05-28,20.00,carton,wholesale,,true
2025-06-04,19.50,carton,wholesale,,true
2025-06-11,17.30,carton,wholesale,,true
2025-06-18,15.50,carton,wholesale,,true
2025-06-25,15.13,carton,wholesale,,true
2025-07-02,15.30,carton,wholesale,,true
2025-07-09,15.50,carton,wholesale,,true
2025-07-16,17.70,carton,wholesale,,true
2025-07-23,21.00,carton,wholesale,,true
2025-07-30,21.00,carton,wholesale,,true
2025-08-06,22.00,carton,wholesale,,true
2025-08-13,22.13,carton,wholesale,,true
2025-08-20,21.40,carton,wholesale,,true
2025-08-27,21.00,carton,wholesale,,true
2025-09-03,21.19,carton,wholesale,,true
2025-09-10,20.10,carton,wholesale,,true
2025-09-17,19.40,carton,wholesale,,true
2025-09-24,21.00,carton,wholesale,,true
2025-10-01,19.10,carton,wholesale,,true
2025-10-08,17.20,carton,wholesale,,true
2025-10-15,15.50,carton,wholesale,,true
2025-10-22,17.50,carton,wholesale,,true
2025-10-29,17.30,carton,wholesale,,true
2025-11-05,16.80,carton,wholesale,,true
