date,price_usd,unit,basis,source,reconstructed
2001-04-25,0.31,carton,wholesale,,true
2001-05-02,0.33,carton,wholesale,,true
2001-05-09,0.29,carton,wholesale,,true
2001-05-16,0.25,carton,wholesale,,true
2001-05-23,0.22,carton,wholesale,,true
2001-05-30,0.20,carton,wholesale,,true
2001-06-06,0.19,carton,wholesale,,true
2001-06-13,0.18,carton,wholesale,,true
2001-06-20,0.16,carton,wholesale,,true
2001-06-27,0.17,carton,wholesale,,true
2001-07-03,0.18,carton,wholesale,,true
2001-07-11,0.18,carton,wholesale,,true
2001-07-18,0.16,carton,wholesale,,true
2001-07-25,0.15,carton,wholesale,,true
2001-08-01,0.15,carton,wholesale,,true
2001-08-06,0.17,carton,wholesale,,true
2001-08-15,0.17,carton,wholesale,,true
2001-08-22,0.18,carton,wholesale,,true
2001-08-29,0.17,carton,wholesale,,true
2001-09-05,0.17,carton,wholesale,,true
2001-09-12,0.17,carton,wholesale,,true
2001-09-19,0.16,carton,wholesale,,true
2001-09-26,0.16,carton,wholesale,,true
2001-10-03,0.17,carton,wholesale,,true
2001-10-10,0.18,carton,wholesale,,true
2001-10-17,0.17,carton,wholesale,,true
2001-10-24,0.20,carton,wholesale,,true
2001-10-31,0.22,carton,wholesale,,true
2001-11-07,0.19,carton,wholesale,,true
2001-11-14,0.19,carton,wholesale,,true
2001-11-21,0.18,carton,wholesale,,true
2001-11-28,0.17,carton,wholesale,,true
2001-12-05,0.19,carton,wholesale,,true
2001-12-12,0.25,carton,wholesale,,true
2001-12-19,0.27,carton,wholesale,,true
2001-12-26,0.27,carton,wholesale,,true
2002-01-02,0.28,carton,wholesale,,true
2002-01-09,0.37,carton,wholesale,,true
2002-01-16,0.50,carton,wholesale,,true
2002-01-23,0.58,carton,wholesale,,true
2002-01-30,0.58,carton,wholesale,,true
2002-02-06,0.43,carton,wholesale,,true
2002-02-13,0.35,carton,wholesale,,true
2002-02-20,0.29,carton,wholesale,,true
2002-02-27,0.29,carton,wholesale,,true
2002-03-06,0.30,carton,wholesale,,true
2002-03-13,0.33,carton,wholesale,,true
2002-03-20,0.36,carton,wholesale,,true
2002-03-27,0.41,carton,wholesale,,true
2002-04-03,0.38,carton,wholesale,,true
2002-04-10,0.24,carton,wholesale,,true
2002-04-17,0.21,carton,wholesale,,true
2002-04-24,0.24,carton,wholesale,,true
2002-05-01,0.24,carton,wholesale,,true
2002-05-08,0.22,carton,wholesale,,true
2002-05-15,0.21,carton,wholesale,,true
2002-05-22,0.25,carton,wholesale,,true
2002-05-29,0.25,carton,wholesale,,true
2002-06-05,0.24,carton,wholesale,,true
2002-06-12,0.23,carton,wholesale,,true
2002-06-19,0.21,carton,wholesale,,true
2002-06-26,0.19,carton,wholesale,,true
2002-07-03,0.19,carton,wholesale,,true
2002-07-10,0.17,carton,wholesale,,true
2002-07-17,0.15,carton,wholesale,,true
2002-07-24,0.17,carton,wholesale,,true
2002-07-31,0.17,carton,wholesale,,true
2002-08-07,0.19,carton,wholesale,,true
2002-08-14,0.19,carton,wholesale,,true
2002-08-21,0.18,carton,wholesale,,true
2002-08-28,0.18,carton,wholesale,,true
2002-09-04,0.18,carton,wholesale,,true
2002-09-11,0.13,carton,wholesale,,true
2002-09-18,0.12,carton,wholesale,,true
2002-09-25,0.13,carton,wholesale,,true
2002-10-02,0.15,carton,wholesale,,true
2002-10-09,0.19,carton,wholesale,,true
2002-10-16,0.23,carton,wholesale,,true
2002-10-23,0.26,carton,wholesale,,true
2002-10-30,0.26,carton,wholesale,,true
2002-11-06,0.28,carton,wholesale,,true
