ingredient,pct_vs_baseline,direction,flag,median_cents,elevated_weeks
ribeye,0.1289,up,re-price,1314,4
beef-tenderloin,-0.0348,down,,1497,0
chicken-breast,-0.0559,down,,135,0
whole-chicken,-0.2672,down,,85,0
pork-loin,0.0444,up,,94,0
pork-shoulder,-0.1678,down,,119,0
romaine-lettuce,0.1567,up,,7575,0
tomato,-0.4504,down,,2050,0
onion,-0.0151,down,,2463,0
russet-potato,0.0210,up,,1900,0
butter,-0.1344,down,,161,0
cheddar-cheese,0.1000,up,,165,0
eggs,0.1200,up,,56,0
bell-pepper,0.0000,flat,,2525,0
broccoli,-0.4875,down,,2744,0
cauliflower,-0.5641,down,,3863,0
spinach,-0.0879,down,,2100,0
asparagus,-0.4113,down,,3000,0
garlic,-0.1181,down,,5600,0
carrot,0.0074,up,,3425,0
corn-on-the-cob,0.3971,up,watch,2800,2
kale,0.0286,up,,2100,0
basil,0.0000,flat,,788,0
cilantro,0.3760,up,re-price,2675,6
button-mushroom,0.0349,up,,2225,0
sweet-potato,0.0000,flat,,3400,0
avocado,0.6857,up,re-price,5650,8
lemon,0.2468,up,re-price,4800,8
lime,-0.2917,down,,3100,0
pineapple,-0.2051,down,,1625,0
chicken-thigh,0.3148,up,re-price,142,5
cucumber,-0.3729,down,,1888,0
celery,-0.1900,down,,3725,0
cabbage,0.1670,up,re-price,2125,8
eggplant,-0.4310,down,,2975,0
zucchini,-0.4024,down,,1450,0
beet,-0.1481,down,,2300,0
leek,-0.0496,down,,2975,0
ginger,0.0313,up,,4125,0
yellow-squash,-0.5000,down,,1875,0
jalapeno,-0.2740,down,,2588,0
green-onion,-0.0870,down,,2088,0
green-beans,-0.0615,down,re-price,3025,8
parsley,0.1848,up,re-price,3150,6
brussels-sprouts,-0.1887,down,,3188,0
butternut-squash,0.2016,up,,2550,0
iceberg-lettuce,0.2825,up,re-price,5750,8
bok-choy,0.0152,up,,3313,0
artichoke,0.0224,up,re-price,5113,8
okra,-0.0208,down,,2425,0
snow-peas,-0.0259,down,,2675,0
butter-lettuce,0.2885,up,,2675,0
green-leaf-lettuce,0.3561,up,,3575,0
red-leaf-lettuce,0.4595,up,re-price,3913,8
collard-greens,0.3000,up,re-price,1863,8
napa-cabbage,-0.2055,down,,2900,0
rutabaga,0.0000,flat,,3000,0
daikon,0.0000,flat,,3300,0
cherry-tomato,-0.1111,down,,2225,0
serrano-pepper,-0.4504,down,,3513,0
poblano-pepper,-0.3744,down,,3400,0
habanero-pepper,0.0584,up,re-price,3763,5
mint,0.0000,flat,,1263,0
rosemary,0.0000,flat,,800,0
thyme,0.0000,flat,,847,0
oregano,0.0000,flat,,800,0
tarragon,0.0000,flat,,1088,0
dill,0.1894,up,,2400,0
red-onion,0.0833,up,,1875,0
red-potato,0.0891,up,re-price,3175,6
grapefruit,0.0226,up,,3250,0
apple,0.0333,up,,3744,0
pear,0.1299,up,re-price,4025,4
banana,0.0000,flat,,2175,0
watermelon,0.0000,flat,,800,0
cantaloupe,0.3421,up,watch,3532,
blueberry,-0.0417,down,re-price,3038,5
raspberry,-0.0248,down,,2850,0
short-rib,0.0155,up,,590,0
ground-beef,-0.0230,down,watch,551,
whole-turkey,0.0714,up,,180,0
acorn-squash,0.5610,up,re-price,3913,8
