date,price_usd,unit,basis,source,reconstructed
2023-06-05,0.89,lb,wholesale,,true
2023-06-12,0.89,lb,wholesale,,true
2023-06-19,0.88,lb,wholesale,,true
2023-06-26,0.89,lb,wholesale,,true
2023-07-03,0.94,lb,wholesale,,true
2023-07-10,0.98,lb,wholesale,,true
2023-07-17,1.04,lb,wholesale,,true
2023-07-24,1.10,lb,wholesale,,true
2023-07-31,1.15,lb,wholesale,,true
2023-08-07,1.19,lb,wholesale,,true
2023-08-14,1.26,lb,wholesale,,true
2023-08-21,1.35,lb,wholesale,,true
2023-08-28,1.42,lb,wholesale,,true
2023-09-04,1.49,lb,wholesale,,true
2023-09-11,1.52,lb,wholesale,,true
2023-09-18,1.59,lb,wholesale,,true
2023-09-25,1.67,lb,wholesale,,true
2023-10-02,1.69,lb,wholesale,,true
2023-10-09,1.68,lb,wholesale,,true
2023-10-16,1.69,lb,wholesale,,true
2023-10-23,1.67,lb,wholesale,,true
2023-10-30,1.65,lb,wholesale,,true
2023-11-06,1.63,lb,wholesale,,true
2023-11-13,1.57,lb,wholesale,,true
2023-11-20,1.59,lb,wholesale,,true
2023-11-27,1.61,lb,wholesale,,true
2023-12-04,1.58,lb,wholesale,,true
2023-12-11,1.57,lb,wholesale,,true
2023-12-18,1.58,lb,wholesale,,true
2023-12-25,1.62,lb,wholesale,,true
2024-01-01,1.64,lb,wholesale,,true
2024-01-08,1.67,lb,wholesale,,true
2024-01-15,1.71,lb,wholesale,,true
2024-01-22,1.76,lb,wholesale,,true
2024-01-29,1.80,lb,wholesale,,true
2024-02-05,1.86,lb,wholesale,,true
2024-02-12,1.90,lb,wholesale,,true
2024-02-19,1.97,lb,wholesale,,true
2024-02-26,2.06,lb,wholesale,,true
2024-03-04,2.11,lb,wholesale,,true
2024-03-11,2.12,lb,wholesale,,true
2024-03-18,2.19,lb,wholesale,,true
2024-03-25,2.23,lb,wholesale,,true
2024-04-01,2.27,lb,wholesale,,true
2024-04-08,2.29,lb,wholesale,,true
2024-04-15,2.30,lb,wholesale,,true
2024-04-22,2.27,lb,wholesale,,true
2024-04-29,2.26,lb,wholesale,,true
2024-05-06,2.25,lb,wholesale,,true
2024-05-13,2.28,lb,wholesale,,true
2024-05-20,2.34,lb,wholesale,,true
2024-05-27,2.42,lb,wholesale,,true
2024-06-03,2.45,lb,wholesale,,true
2024-06-10,2.51,lb,wholesale,,true
2024-06-17,2.55,lb,wholesale,,true
2024-06-24,2.59,lb,wholesale,,true
2024-07-01,2.64,lb,wholesale,,true
2024-07-08,2.64,lb,wholesale,,true
2024-07-15,2.63,lb,wholesale,,true
2024-07-22,2.60,lb,wholesale,,true
2024-07-29,2.57,lb,wholesale,,true
2024-08-05,2.50,lb,wholesale,,true
2024-08-12,2.43,lb,wholesale,,true
2024-08-19,2.32,lb,wholesale,,true
2024-08-26,2.35,lb,wholesale,,true
2024-09-02,2.35,lb,wholesale,,true
2024-09-09,2.30,lb,wholesale,,true
2024-09-16,2.33,lb,wholesale,,true
2024-09-23,2.30,lb,wholesale,,true
2024-09-30,2.24,lb,wholesale,,true
2024-10-07,2.14,lb,wholesale,,true
2024-10-14,1.99,lb,wholesale,,true
2024-10-21,1.95,lb,wholesale,,true
2024-10-28,1.91,lb,wholesale,,true
2024-11-04,1.89,lb,wholesale,,true
2024-11-11,1.89,lb,wholesale,,true
2024-11-18,1.89,lb,wholesale,,true
2024-11-25,1.89,lb,wholesale,,true
2024-12-02,1.89,lb,wholesale,,true
2024-12-09,1.89,lb,wholesale,,true
2024-12-16,1.89,lb,wholesale,,true
2024-12-23,1.88,lb,wholesale,,true
2024-12-30,1.90,lb,wholesale,,true
2025-01-06,1.91,lb,wholesale,,true
2025-01-13,1.90,lb,wholesale,,true
2025-01-20,1.91,lb,wholesale,,true
2025-01-27,1.91,lb,wholesale,,true
2025-02-03,1.90,lb,wholesale,,true
2025-02-10,1.90,lb,wholesale,,true
2025-02-17,1.89,lb,wholesale,,true
2025-02-24,1.78,lb,wholesale,,true
2025-03-03,1.64,lb,wholesale,,true
2025-03-10,1.52,lb,wholesale,,true
2025-03-17,1.44,lb,wholesale,,true
2025-03-24,1.45,lb,wholesale,,true
2025-03-31,1.43,lb,wholesale,,true
2025-04-07,1.42,lb,wholesale,,true
2025-04-14,1.38,lb,wholesale,,true
2025-04-21,1.33,lb,wholesale,,true
2025-04-28,1.25,lb,wholesale,,true
2025-05-05,1.17,lb,wholesale,,true
2025-05-12,1.14,lb,wholesale,,true
2025-05-19,1.14,lb,wholesale,,true
2025-05-26,1.16,lb,wholesale,,true
2025-06-02,1.19,lb,wholesale,,true
2025-06-09,1.21,lb,wholesale,,true
2025-06-16,1.26,lb,wholesale,,true
2025-06-23,1.36,lb,wholesale,,true
2025-06-30,1.47,lb,wholesale,,true
2025-07-07,1.54,lb,wholesale,,true
2025-07-14,1.62,lb,wholesale,,true
2025-07-21,1.71,lb,wholesale,,true
2025-07-28,1.71,lb,wholesale,,true
2025-08-04,1.73,lb,wholesale,,true
2025-08-11,1.72,lb,wholesale,,true
2025-08-18,1.73,lb,wholesale,,true
2025-08-25,1.73,lb,wholesale,,true
2025-09-01,1.66,lb,wholesale,,true
2025-09-08,1.60,lb,wholesale,,true
2025-09-15,1.44,lb,wholesale,,true
2025-09-22,1.30,lb,wholesale,,true
2025-09-29,1.17,lb,wholesale,,true
2025-10-06,1.11,lb,wholesale,,true
2025-10-13,1.09,lb,wholesale,,true
2025-10-20,1.08,lb,wholesale,,true
2025-10-27,1.06,lb,wholesale,,true
