date,price_usd,unit,basis,source,reconstructed
2026-06-03,23.00,carton,wholesale,usda-ams-boston,false
2026-06-04,23.00,carton,wholesale,usda-ams-boston,false
2026-06-05,23.00,carton,wholesale,usda-ams-boston,false
2026-06-08,23.00,carton,wholesale,usda-ams-boston,false
2026-06-09,21.00,carton,wholesale,usda-ams-boston,false
2026-06-10,21.00,carton,wholesale,usda-ams-boston,false
2026-06-11,21.00,carton,wholesale,usda-ams-boston,false
2026-06-12,21.00,carton,wholesale,usda-ams-boston,false
2026-06-15,21.00,carton,wholesale,usda-ams-boston,false
2026-06-16,21.00,carton,wholesale,usda-ams-boston,false
2026-06-17,21.00,carton,wholesale,usda-ams-boston,false
2026-06-18,21.00,carton,wholesale,usda-ams-boston,false
2026-06-22,21.00,carton,wholesale,usda-ams-boston,false
2026-06-23,21.00,carton,wholesale,usda-ams-boston,false
2026-06-24,21.00,carton,wholesale,usda-ams-boston,false
2026-06-25,16.00,carton,wholesale,usda-ams-boston,false
2026-06-26,16.00,carton,wholesale,usda-ams-boston,false
2026-06-29,16.00,carton,wholesale,usda-ams-boston,false
2026-06-30,16.00,carton,wholesale,usda-ams-boston,false
2026-07-01,16.00,carton,wholesale,usda-ams-boston,false
2026-07-02,16.00,carton,wholesale,usda-ams-boston,false
2026-07-06,16.00,carton,wholesale,usda-ams-boston,false
2026-07-07,12.00,carton,wholesale,usda-ams-boston,false
2026-07-08,12.00,carton,wholesale,usda-ams-boston,false
2026-07-09,12.00,carton,wholesale,usda-ams-boston,false
2026-07-10,12.00,carton,wholesale,usda-ams-boston,false
