slug,name_en,name_es,edible_yield,unit_en,unit_es,category
romaine-lettuce,Romaine lettuce,Lechuga romana,0.75,head,pieza,greens
spinach,Spinach,Espinaca,0.75,lb,libra,greens
broccoli,Broccoli,Brócoli,0.65,lb,libra,cruciferous
asparagus,Asparagus,Espárragos,0.55,lb,libra,stalks
onion,Onion,Cebolla,0.88,lb,libra,allium
garlic,Garlic,Ajo,0.87,lb,libra,allium
carrot,Carrot,Zanahoria,0.82,lb,libra,root
russet-potato,Russet potato,Papa russet,0.81,lb,libra,tuber
tomato,Tomato,Jitomate,0.91,lb,libra,fruiting
avocado,Avocado,Aguacate,0.75,each,pieza,fruit
lime,Lime,Limón,0.35,each,pieza,citrus
whole-chicken,Whole chicken,Pollo entero,0.6,lb,libra,meat
chicken-breast,Chicken breast,Pechuga de pollo,0.95,lb,libra,meat
chicken-thigh,Chicken thigh,Muslo de pollo,0.9,lb,libra,meat
pork-shoulder,Pork shoulder,Espaldilla de cerdo,0.75,lb,libra,meat
pork-loin,Pork loin,Lomo de cerdo,0.85,lb,libra,meat
ribeye,Ribeye,Ribeye (bife ancho),0.75,lb,libra,beef
striploin,Striploin,New York (bife angosto),0.8,lb,libra,beef
beef-tenderloin,Beef tenderloin,Filete de res,0.85,lb,libra,beef
leg-of-lamb,Leg of lamb,Pierna de cordero,0.7,lb,libra,beef
whole-salmon,Whole salmon,Salmón entero,0.55,lb,libra,seafood
salmon-fillet,Salmon fillet,Filete de salmón,0.95,lb,libra,seafood
tuna-loin,Tuna loin,Lomo de atún,0.85,lb,libra,seafood
whole-branzino,Whole branzino,Branzino entero,0.55,lb,libra,seafood
shrimp,Shrimp (shell-on),Camarón con cáscara,0.85,lb,libra,shellfish
whole-lobster,Whole lobster,Langosta entera,0.3,lb,libra,shellfish
kale,Kale,Col rizada (kale),0.7,lb,libra,greens
cauliflower,Cauliflower,Coliflor,0.6,head,pieza,cruciferous
bell-pepper,Bell pepper,Pimiento morrón,0.82,lb,libra,fruiting
sweet-potato,Sweet potato,Camote,0.75,lb,libra,tuber
corn-on-the-cob,Corn on the cob,Elote (mazorca),0.28,ear,pieza,fruiting
button-mushroom,Button mushroom,Champiñón,0.9,lb,libra,mushroom
basil,Basil,Albahaca,0.5,bunch,manojo,herbs
cilantro,Cilantro,Cilantro,0.7,bunch,manojo,herbs
lemon,Lemon,Limón amarillo,0.45,each,pieza,citrus
pineapple,Pineapple,Piña,0.5,each,pieza,fruit
cucumber,Cucumber,Pepino,0.95,lb,libra,fruiting
celery,Celery,Apio,0.75,head,pieza,stalks
cabbage,Cabbage,Repollo,0.8,head,pieza,cruciferous
eggplant,Eggplant,Berenjena,0.81,lb,libra,fruiting
zucchini,Zucchini,Calabacín,0.95,lb,libra,fruiting
beet,Beet,Remolacha,0.75,lb,libra,root
leek,Leek,Puerro,0.5,lb,libra,allium
ginger,Ginger root,Jengibre,0.85,lb,libra,root
yellow-squash,Yellow squash,Calabaza amarilla,0.95,lb,libra,fruiting
jalapeno,Jalapeño,Chile jalapeño,0.85,lb,libra,fruiting
green-onion,Green onion,Cebollín,0.65,bunch,manojo,allium
green-beans,Green beans,Ejotes,0.88,lb,libra,fruiting
parsley,Parsley,Perejil,0.7,bunch,manojo,herbs
brussels-sprouts,Brussels sprouts,Coles de Bruselas,0.8,lb,libra,cruciferous
butternut-squash,Butternut squash,Calabaza moscada,0.7,lb,libra,fruiting
iceberg-lettuce,Iceberg lettuce,Lechuga iceberg,0.74,head,pieza,greens
bok-choy,Bok choy,Bok choy,0.8,lb,libra,greens
artichoke,Artichoke,Alcachofa,0.4,each,pieza,stalks
okra,Okra,Quimbombó,0.85,lb,libra,fruiting
arugula,Arugula,Arúgula,0.85,lb,libra,greens
swiss-chard,Swiss chard,Acelga,0.75,bunch,manojo,greens
fennel,Fennel,Hinojo,0.65,each,pieza,stalks
shallot,Shallot,Chalota,0.85,lb,libra,allium
parsnip,Parsnip,Chirivía,0.85,lb,libra,root
radish,Radish,Rábano,0.85,bunch,manojo,root
turnip,Turnip,Nabo,0.78,lb,libra,root
yukon-potato,Yukon Gold potato,Papa Yukon Gold,0.85,lb,libra,tuber
cremini-mushroom,Cremini mushroom,Champiñón cremini,0.9,lb,libra,mushroom
portobello-mushroom,Portobello mushroom,Champiñón portobello,0.85,lb,libra,mushroom
shiitake-mushroom,Shiitake mushroom,Hongo shiitake,0.85,lb,libra,mushroom
mango,Mango,Mango,0.65,each,pieza,fruit
strawberry,Strawberry,Fresa,0.89,lb,libra,fruit
orange,Orange,Naranja,0.55,each,pieza,citrus
mussels,Mussels,Mejillones,0.35,lb,libra,shellfish
snow-peas,Snow peas,Arvejas de nieve,0.9,lb,libra,fruiting
butter-lettuce,Butter lettuce,Lechuga mantequilla,0.65,head,pieza,greens
green-leaf-lettuce,Green leaf lettuce,Lechuga verde,0.7,head,pieza,greens
red-leaf-lettuce,Red leaf lettuce,Lechuga roja,0.7,head,pieza,greens
collard-greens,Collard greens,Berza,0.65,bunch,manojo,greens
napa-cabbage,Napa cabbage,Col china,0.8,head,pieza,greens
red-onion,Red onion,Cebolla morada,0.88,lb,libra,allium
rutabaga,Rutabaga,Nabo sueco,0.78,lb,libra,root
daikon,Daikon radish,Rábano daikon,0.85,lb,libra,root
red-potato,Red potato,Papa roja,0.85,lb,libra,tuber
cherry-tomato,Cherry tomato,Tomate cherry,1,lb,libra,fruiting
acorn-squash,Acorn squash,Calabaza bellota,0.7,lb,libra,fruiting
pumpkin,Pumpkin,Calabaza,0.55,lb,libra,fruiting
serrano-pepper,Serrano pepper,Chile serrano,0.85,lb,libra,fruiting
poblano-pepper,Poblano pepper,Chile poblano,0.8,lb,libra,fruiting
habanero-pepper,Habanero pepper,Chile habanero,0.85,lb,libra,fruiting
oyster-mushroom,Oyster mushroom,Hongo ostra,0.9,lb,libra,mushroom
mint,Mint,Menta,0.7,bunch,manojo,herbs
rosemary,Rosemary,Romero,0.5,bunch,manojo,herbs
thyme,Thyme,Tomillo,0.5,bunch,manojo,herbs
oregano,Oregano,Orégano,0.55,bunch,manojo,herbs
tarragon,Tarragon,Estragón,0.55,bunch,manojo,herbs
dill,Dill,Eneldo,0.65,bunch,manojo,herbs
grapefruit,Grapefruit,Toronja,0.5,each,pieza,citrus
apple,Apple,Manzana,0.78,lb,libra,fruit
pear,Pear,Pera,0.78,lb,libra,fruit
banana,Banana,Plátano,0.65,lb,libra,fruit
watermelon,Watermelon,Sandía,0.5,each,pieza,fruit
cantaloupe,Cantaloupe,Melón,0.5,each,pieza,fruit
blueberry,Blueberry,Arándano,1,lb,libra,fruit
raspberry,Raspberry,Frambuesa,1,lb,libra,fruit
short-rib,Short rib,Costilla corta,0.65,lb,libra,beef
ground-beef,Ground beef,Carne molida,1,lb,libra,beef
lamb-shoulder,Lamb shoulder,Paleta de cordero,0.65,lb,libra,beef
pork-belly,Pork belly,Panceta de cerdo,0.9,lb,libra,meat
ground-pork,Ground pork,Cerdo molido,1,lb,libra,meat
whole-turkey,Whole turkey,Pavo entero,0.5,lb,libra,meat
ground-turkey,Ground turkey,Pavo molido,1,lb,libra,meat
whole-halibut,Whole halibut,Fletán entero,0.5,lb,libra,seafood
whole-trout,Whole trout,Trucha entera,0.55,lb,libra,seafood
scallops,Scallops,Vieiras,1,lb,libra,shellfish
whole-crab,Whole crab,Cangrejo entero,0.25,lb,libra,shellfish
octopus,Octopus,Pulpo,0.45,lb,libra,shellfish
clams,Clams,Almejas,0.3,lb,libra,shellfish
salmon-skin-on-fillet,Salmon (skin-on fillet),Filete de salmón con piel,0.8,lb,libra,seafood
squid,Squid,Calamar,0.8,lb,libra,shellfish
shrimp-head-on,Shrimp (head-on),Camarón con cabeza,0.5,lb,libra,shellfish
shrimp-pd,Shrimp (P&D),Camarón pelado y desvenado,1,lb,libra,shellfish
